num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,cache_file,warmup_steps,nominal_sample_count,fault_sample_count,nominal_consistent_rate,nominal_undecided_rate,nominal_false_inconsistent_rate,fault_false_consistent_rate,fault_undecided_rate,fault_inconsistent_rate,decision_coverage,selective_accuracy,selective_risk,balanced_three_state_accuracy,q_inconsistent_roc_auc,q_inconsistent_average_precision,mean_q_inconsistent_nominal,mean_q_inconsistent_fault,q_inconsistent_mean_separation,region_transition_count,region_transitions_per_1000_steps,mean_region_dwell_steps,initial_consistent_delay_steps,mean_position_error_nominal,mean_position_error_fault,event_detection_rate,mean_detection_delay_steps,median_detection_delay_steps,worst_detection_delay_steps,mean_detection_delay_seconds,mean_recovery_delay_steps,mean_recovery_delay_seconds,undetected_event_count
5,25,0.95,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,25,676,700,0.5606508875739645,0.3994082840236686,0.03994082840236687,0.23142857142857143,0.6685714285714286,0.1,0.4636627906976744,0.7037617554858934,0.29623824451410663,0.33032544378698225,0.7444907016060862,0.718695876140221,0.12782396172867871,0.3783300357112476,0.2505060739825689,51,37.06395348837209,26.46153846153846,35.0,0.5619834163310975,1.0476660479574822,0.16666666666666666,30.0,30.0,30.0,3.0,33.5,3.35,5
5,25,0.98,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,25,676,700,0.6642011834319527,0.29289940828402367,0.042899408284023666,0.32,0.5771428571428572,0.10285714285714286,0.5625,0.6731266149870802,0.32687338501291985,0.38352916314454777,0.7259763313609467,0.7025504136500513,0.11460536817459971,0.3434505607189693,0.22884519254436958,35,25.436046511627907,38.22222222222222,35.0,0.5619834163310975,1.0476660479574822,0.16666666666666666,28.0,28.0,28.0,2.8000000000000003,33.166666666666664,3.3166666666666664,5
5,25,0.99,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,25,676,700,0.6760355029585798,0.28254437869822485,0.04142011834319527,0.38,0.5185714285714286,0.10142857142857142,0.5973837209302325,0.6423357664233577,0.35766423357664234,0.38873203719357563,0.703489010989011,0.6821521111055758,0.11047276774933118,0.31185779579092754,0.20138502804159636,31,22.52906976744186,43.0,35.0,0.5619834163310975,1.0476660479574822,0.16666666666666666,29.0,29.0,29.0,2.9000000000000004,31.833333333333332,3.1833333333333336,5
5,25,0.995,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,25,676,700,0.7011834319526628,0.2559171597633136,0.042899408284023666,0.42,0.47714285714285715,0.10285714285714286,0.6315406976744186,0.6283084004602992,0.37169159953970077,0.4020202874049028,0.6954733727810651,0.6742092977982265,0.10411037119623759,0.29056379960098355,0.18645342840474596,31,22.52906976744186,43.0,35.0,0.5619834163310975,1.0476660479574822,0.16666666666666666,28.0,28.0,28.0,2.8000000000000003,30.5,3.0500000000000003,5
5,35,0.95,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,35,666,700,0.7057057057057057,0.24624624624624625,0.04804804804804805,0.3628571428571429,0.5457142857142857,0.09142857142857143,0.6002928257686676,0.651219512195122,0.348780487804878,0.39856713856713855,0.7132260832260833,0.6873005716282917,0.11869065348297654,0.3266721478151016,0.2079814943321251,36,26.35431918008785,36.91891891891892,35.0,0.5599826822119577,1.0476660479574822,0.16666666666666666,36.0,36.0,36.0,3.6,27.833333333333332,2.783333333333333,5
5,35,0.98,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,35,666,700,0.7357357357357357,0.2147147147147147,0.04954954954954955,0.4142857142857143,0.4928571428571429,0.09285714285714286,0.6427525622254758,0.6321184510250569,0.3678815489749431,0.4142964392964393,0.6917374517374517,0.6694315908177898,0.11523517205659044,0.29338286984571343,0.17814769778912298,20,14.641288433382138,65.04761904761905,35.0,0.5599826822119577,1.0476660479574822,0.16666666666666666,35.0,35.0,35.0,3.5,28.0,2.8000000000000003,5
5,35,0.99,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,35,666,700,0.7402402402402403,0.2087087087087087,0.05105105105105105,0.44857142857142857,0.4585714285714286,0.09285714285714286,0.6632503660322109,0.6158940397350994,0.3841059602649006,0.41654869154869156,0.6735392535392536,0.654081967903064,0.1141426477581474,0.27451561129102686,0.16037296353287944,20,14.641288433382138,65.04761904761905,35.0,0.5599826822119577,1.0476660479574822,0.16666666666666666,35.0,35.0,35.0,3.5,27.5,2.75,5
5,35,0.995,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,35,666,700,0.7357357357357357,0.21621621621621623,0.04804804804804805,0.49714285714285716,0.41,0.09285714285714286,0.6844802342606149,0.5935828877005348,0.4064171122994652,0.4142964392964393,0.6363878163878164,0.6305723939724571,0.11048057950898635,0.25037325639336344,0.1398926768843771,28,20.497803806734993,47.10344827586207,35.0,0.5599826822119577,1.0476660479574822,0.16666666666666666,35.0,35.0,35.0,3.5,27.833333333333332,2.783333333333333,5
5,50,0.95,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,50,651,700,0.7265745007680492,0.21351766513056836,0.059907834101382486,0.47714285714285715,0.4442857142857143,0.07857142857142857,0.6669133974833457,0.586015538290788,0.413984461709212,0.4025729646697389,0.6554136493307,0.6346134058683077,0.13068366475950277,0.2569921372095546,0.12630847245005183,24,17.764618800888233,54.04,50.0,0.5585900987878052,1.0476660479574822,0.16666666666666666,45.0,45.0,45.0,4.5,29.5,2.95,5
5,50,0.98,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,50,651,700,0.7188940092165899,0.21658986175115208,0.06451612903225806,0.5257142857142857,0.3942857142857143,0.08,0.691339748334567,0.5610278372591007,0.43897216274089934,0.3994470046082949,0.6330195303928022,0.6124892140078665,0.13117898202404918,0.22617720884933054,0.09499822682528136,18,13.323464100666174,71.10526315789474,50.0,0.5585900987878052,1.0476660479574822,0.16666666666666666,44.0,44.0,44.0,4.4,30.333333333333332,3.033333333333333,5
