num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,event_index,event_name,event_start,event_end,detected,detection_delay_steps,detection_delay_seconds,recovery_delay_steps,recovery_delay_seconds,event_consistent_rate,event_undecided_rate,event_inconsistent_rate,event_mean_q_inconsistent,event_max_q_inconsistent,event_mean_position_error,event_max_position_error
5,35,0.95,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,41.0,4.1000000000000005,0.19,0.81,0.0,0.290074086388151,0.6758991829704808,0.7583449121460678,2.077781262789668
5,35,0.95,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,42.0,4.2,0.15,0.85,0.0,0.4883616132414232,0.7794752155618585,0.3108220514418344,1.0256832163208238
5,35,0.95,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,28.0,2.8000000000000003,0.22,0.78,0.0,0.4034522103444814,0.7574648667801234,0.384027147034413,0.9700072176398135
5,35,0.95,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,36.0,3.6,47.0,4.7,0.21,0.15,0.64,0.6983683146575151,0.9999999999401396,3.0762588689022863,4.685813908554918
5,35,0.95,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.72,0.28,0.0,0.06035794026450708,0.3733053285794698,0.7730004400459154,1.9952803799749892
5,35,0.98,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,10.0,1.0,0.41,0.59,0.0,0.2584322484050911,0.860595439810698,1.2582084760859429,3.970927422779099
5,35,0.98,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.27,0.73,0.0,0.24353446489268354,0.6276303507341985,0.7583449121460678,2.077781262789668
5,35,0.98,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,42.0,4.2,0.19,0.81,0.0,0.43443285289641165,0.7720552648618494,0.3108220514418344,1.0256832163208238
5,35,0.98,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,28.0,2.8000000000000003,0.27,0.73,0.0,0.34922570455238755,0.738794949496081,0.384027147034413,0.9700072176398135
5,35,0.98,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,35.0,3.5,49.0,4.9,0.24,0.11,0.65,0.6948358001910298,0.9999999999962756,3.0762588689022863,4.685813908554918
5,35,0.98,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.76,0.24,0.0,0.03660950899119525,0.21152080944719803,0.7730004400459154,1.9952803799749892
5,35,0.99,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,11.0,1.1,0.44,0.56,0.0,0.2100457420048105,0.7509806172350113,1.2582084760859429,3.970927422779099
5,35,0.99,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,34.0,3.4000000000000004,0.37,0.63,0.0,0.19215349092121298,0.5736317568047745,0.7583449121460678,2.077781262789668
5,35,0.99,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,44.0,4.4,0.23,0.77,0.0,0.42910026522378525,0.7751737889451946,0.3108220514418344,1.0256832163208238
5,35,0.99,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,30.0,3.0,0.31,0.69,0.0,0.3092821204583316,0.755691648870593,0.384027147034413,0.9700072176398135
