num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,event_index,event_name,transition_type,boundary_step,window_start,window_end,source_region,target_region,source_present_before_boundary,completed,mediated_by_undecided,direct_switch,has_undecided_in_transition_path,settling_delay_steps,settling_delay_seconds,undecided_steps_before_target,transition_path_length_steps,undecided_fraction_on_transition_path
3,15,0.98,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,5,35,0.14285714285714285
3,15,0.98,0.5,0.9,0.5,0,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,1,,,3,35,0.08571428571428572
3,15,0.98,0.5,0.9,0.5,0,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,15,0.99,0.5,0.9,0.5,0,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.99,0.5,0.9,0.5,0,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,1,0,1,2.0,0.2,2,2,1.0
3,15,0.99,0.5,0.9,0.5,0,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,3,35,0.08571428571428572
3,15,0.99,0.5,0.9,0.5,0,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,0,0,0,1,,,34,35,0.9714285714285714
3,15,0.99,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,18,35,0.5142857142857142
3,15,0.99,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,0,1,1,0,1,18.0,1.8,18,18,1.0
3,15,0.99,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,19,35,0.5428571428571428
3,15,0.99,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,22.0,2.2,20,22,0.9090909090909091
3,15,0.99,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,1,1,0,1,31.0,3.1,11,31,0.3548387096774194
3,15,0.99,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,4,35,0.11428571428571428
3,15,0.99,0.5,0.9,0.5,0,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,1,,,1,35,0.02857142857142857
3,15,0.99,0.5,0.9,0.5,0,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,15,0.995,0.5,0.9,0.5,0,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.995,0.5,0.9,0.5,0,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,1,0,1,2.0,0.2,2,2,1.0
3,15,0.995,0.5,0.9,0.5,0,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.995,0.5,0.9,0.5,0,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,0,0,0,1,,,34,35,0.9714285714285714
3,15,0.995,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,15,35,0.42857142857142855
3,15,0.995,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,0,1,1,0,1,27.0,2.7,25,27,0.9259259259259259
3,15,0.995,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,4,35,0.11428571428571428
3,15,0.995,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,21.0,2.1,20,21,0.9523809523809523
3,15,0.995,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,1,,,11,35,0.3142857142857143
3,15,0.995,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,2,35,0.05714285714285714
3,15,0.995,0.5,0.9,0.5,0,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.995,0.5,0.9,0.5,0,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,15,0.999,0.5,0.9,0.5,0,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.999,0.5,0.9,0.5,0,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,15,0.999,0.5,0.9,0.5,0,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.999,0.5,0.9,0.5,0,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,15,0.999,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.999,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,0,1,1,0,1,18.0,1.8,18,18,1.0
3,15,0.999,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.999,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,17.0,1.7000000000000002,16,17,0.9411764705882353
3,15,0.999,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.999,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,0,,,0,35,0.0
3,15,0.999,0.5,0.9,0.5,0,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.999,0.5,0.9,0.5,0,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.9,0.5,0.9,0.5,0,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,25,0.9,0.5,0.9,0.5,0,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.9,0.5,0.9,0.5,0,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,9,35,0.2571428571428571
3,25,0.9,0.5,0.9,0.5,0,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,0,0,0,1,,,35,35,1.0
3,25,0.9,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,18,35,0.5142857142857142
3,25,0.9,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,17.0,1.7000000000000002,17,17,1.0
3,25,0.9,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,21,35,0.6
3,25,0.9,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,1,1,1,0,1,21.0,2.1,21,21,1.0
3,25,0.9,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,1,1,0,1,28.0,2.8000000000000003,8,28,0.2857142857142857
3,25,0.9,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,5,35,0.14285714285714285
3,25,0.9,0.5,0.9,0.5,0,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,1,,,1,35,0.02857142857142857
3,25,0.9,0.5,0.9,0.5,0,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.95,0.5,0.9,0.5,0,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,25,0.95,0.5,0.9,0.5,0,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,0,1,0,0.0,0.0,0,0,
3,25,0.95,0.5,0.9,0.5,0,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,7,35,0.2
3,25,0.95,0.5,0.9,0.5,0,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,0,0,0,1,,,35,35,1.0
3,25,0.95,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,18,35,0.5142857142857142
3,25,0.95,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,0,1,1,0,1,18.0,1.8,18,18,1.0
