num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,cache_file,warmup_steps,transition_window_before_steps,transition_window_after_steps,nominal_sample_count,fault_sample_count,steady_sample_count,transition_sample_count,nominal_consistent_rate,nominal_undecided_rate,nominal_false_inconsistent_rate,fault_false_consistent_rate,fault_undecided_rate,fault_inconsistent_rate,steady_nominal_consistent_rate,steady_nominal_undecided_rate,steady_nominal_false_inconsistent_rate,steady_fault_false_consistent_rate,steady_fault_undecided_rate,steady_fault_inconsistent_rate,steady_undecided_rate,steady_balanced_undecided_rate,steady_balanced_correct_rate,steady_worst_class_correct_rate,steady_confident_error_rate,steady_decision_coverage,steady_selective_accuracy,undecided_total_count,undecided_in_transition_count,undecided_outside_transition_count,undecided_localization_precision,transition_undecided_sample_rate,undecided_transition_f1,mean_q_consistent_steady_nominal,median_q_consistent_steady_nominal,q05_consistent_steady_nominal,q10_consistent_steady_nominal,mean_q_inconsistent_steady_fault,median_q_inconsistent_steady_fault,q10_inconsistent_steady_fault,q20_inconsistent_steady_fault,eta_ceiling_90pct_nominal_consistent,eta_ceiling_80pct_fault_inconsistent,nominal_consistency_credibility_margin_q10,fault_inconsistency_credibility_margin_q20,decision_coverage,selective_accuracy,selective_risk,balanced_three_state_accuracy,q_inconsistent_roc_auc,q_inconsistent_average_precision,mean_q_inconsistent_nominal,mean_q_inconsistent_fault,q_inconsistent_mean_separation,region_transition_count,region_transitions_per_1000_steps,mean_region_dwell_steps,initial_consistent_delay_steps,mean_position_error_nominal,mean_position_error_fault,event_detection_rate,mean_detection_delay_steps,median_detection_delay_steps,worst_detection_delay_steps,mean_detection_delay_seconds,mean_recovery_delay_steps,mean_recovery_delay_seconds,undetected_event_count,transition_count,transition_completion_rate,mediated_transition_rate,direct_transition_rate,transition_undecided_presence_rate,onset_mediated_transition_rate,recovery_mediated_transition_rate,mean_transition_settling_delay_steps,median_transition_settling_delay_steps,mean_undecided_steps_per_transition,mean_transition_path_length_steps
3,15,0.9,0.5,0.9,0.5,0,kf_sa_seed_0000.npz,15,5,35,686,700,906,480,0.6384839650145773,0.3163265306122449,0.04518950437317784,0.3057142857142857,0.5028571428571429,0.19142857142857142,0.8251121076233184,0.17488789237668162,0.0,0.24347826086956523,0.5369565217391304,0.21956521739130436,0.358719646799117,0.355922207057906,0.5223386625073114,0.21956521739130436,0.12362030905077263,0.6412803532008831,0.8072289156626506,569,244,325,0.4288224956063269,0.5083333333333333,0.46520495710200194,0.9434367226007595,0.9612643831375314,0.8328992131285565,0.8714574955705979,0.48887411773379286,0.48928326880381057,0.03620725471559064,0.07994638160915236,0.8714574955705979,0.07994638160915236,-0.028542504429402094,-0.8200536183908477,0.5894660894660895,0.7001223990208079,0.29987760097919214,0.41495626822157433,0.7455414410662224,0.7360788518430182,0.15562927855226102,0.4360639303002797,0.2804346517480186,125,90.18759018759019,11.0,22.0,0.557660951977217,1.0476660479574822,0.8333333333333334,43.0,36.0,92.0,4.3,25.0,2.5,1,12,0.5,0.5,0.0,1.0,0.3333333333333333,0.6666666666666666,20.5,20.5,16.583333333333332,27.75
3,15,0.95,0.5,0.9,0.5,0,kf_sa_seed_0000.npz,15,5,35,686,700,906,480,0.7332361516034985,0.2230320699708455,0.043731778425655975,0.36,0.4642857142857143,0.1757142857142857,0.9372197309417041,0.06278026905829596,0.0,0.2891304347826087,0.5,0.2108695652173913,0.2847682119205298,0.28139013452914796,0.5740446480795477,0.2108695652173913,0.1467991169977925,0.7152317880794702,0.7947530864197531,478,220,258,0.4602510460251046,0.4583333333333333,0.4592901878914405,0.9641836881721272,0.9777849631995926,0.8904633302862689,0.9170209009590631,0.4690002881886533,0.458931378605532,0.024507842660005,0.05946560439074164,0.9170209009590631,0.05946560439074164,0.017020900959063057,-0.8405343956092584,0.6551226551226551,0.6894273127753304,0.3105726872246696,0.4544752186588921,0.7478800499791753,0.731356887601142,0.13733329118014015,0.40901439735074796,0.2716811061706078,87,62.77056277056277,15.75,22.0,0.557660951977217,1.0476660479574822,0.8333333333333334,45.4,38.0,92.0,4.54,24.166666666666668,2.416666666666667,1,12,0.5,0.5,0.0,0.9166666666666666,0.3333333333333333,0.6666666666666666,21.166666666666668,22.5,15.583333333333334,28.083333333333332
3,15,0.98,0.5,0.9,0.5,0,kf_sa_seed_0000.npz,15,5,35,686,700,906,480,0.7769679300291545,0.1793002915451895,0.043731778425655975,0.43,0.42428571428571427,0.1457142857142857,0.9798206278026906,0.020179372197309416,0.0,0.3521739130434783,0.45652173913043476,0.19130434782608696,0.24172185430463577,0.2383505556638721,0.5855624878143888,0.19130434782608696,0.17880794701986755,0.7582781456953642,0.7641921397379913,420,201,219,0.4785714285714286,0.41875,0.4466666666666667,0.9820546450280128,0.9930169667633848,0.9272184308462239,0.9528306838282509,0.4359693754539494,0.35790106257472104,0.0104566290691421,0.034775217454726275,0.9528306838282509,0.034775217454726275,0.052830683828250846,-0.8652247825452738,0.696969696969697,0.6573498964803313,0.34265010351966874,0.4613411078717201,0.7397657226155768,0.7162643481847389,0.1182805869364292,0.3639423299498585,0.24566174301342927,49,35.35353535353536,27.72,22.0,0.557660951977217,1.0476660479574822,0.5,56.0,49.0,92.0,5.6000000000000005,18.333333333333332,1.8333333333333333,3,12,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.8333333333333334,0.16666666666666666,0.5,13.4,16.0,12.166666666666666,26.0
3,15,0.99,0.5,0.9,0.5,0,kf_sa_seed_0000.npz,15,5,35,686,700,906,480,0.7740524781341108,0.18075801749271136,0.04518950437317784,0.4785714285714286,0.39571428571428574,0.12571428571428572,0.968609865470852,0.03139013452914798,0.0,0.3826086956521739,0.44565217391304346,0.17173913043478262,0.24172185430463577,0.2385211542210957,0.5701744979528174,0.17173913043478262,0.19426048565121412,0.7582781456953642,0.7438136826783115,401,182,219,0.4538653366583541,0.37916666666666665,0.41316685584563,0.9857877475326621,0.9980645871842928,0.9357959900075454,0.9637278270409118,0.3992752929559033,0.24541287229264855,0.002471882338068847,0.01673641141101656,0.9637278270409118,0.01673641141101656,0.06372782704091173,-0.8832635885889835,0.7106782106782107,0.6284263959390863,0.37157360406091366,0.4498833819241983,0.7180216576426489,0.6883296287840881,0.1085735401011157,0.3199021925208498,0.2113286524197341,51,36.7965367965368,26.653846153846153,23.0,0.557660951977217,1.0476660479574822,0.3333333333333333,42.5,42.5,54.0,4.25,19.5,1.9500000000000002,4,12,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.8333333333333334,0.16666666666666666,0.5,14.6,18.0,10.833333333333334,26.5
3,15,0.995,0.5,0.9,0.5,0,kf_sa_seed_0000.npz,15,5,35,686,700,906,480,0.7813411078717201,0.17055393586005832,0.048104956268221574,0.5571428571428572,0.34285714285714286,0.1,0.9573991031390134,0.042600896860986545,0.0,0.44565217391304346,0.41304347826086957,0.14130434782608695,0.2306843267108168,0.22782218756092806,0.5493517254825502,0.14130434782608695,0.22626931567328917,0.7693156732891833,0.7058823529411765,357,148,209,0.41456582633053224,0.30833333333333335,0.3536439665471924,0.9811648173156411,0.9995701327293289,0.9233462896232072,0.9675114882973532,0.34353469909772993,0.15301459359873626,0.00017821453229935336,0.006009022801279937,0.9675114882973532,0.006009022801279937,0.0675114882973532,-0.8939909771987201,0.7424242424242424,0.5889212827988338,0.4110787172011662,0.44067055393586,0.6794710537276135,0.6492837518730612,0.10365716015417331,0.2634189983155583,0.159761838161385,39,28.138528138528137,34.65,23.0,0.557660951977217,1.0476660479574822,0.3333333333333333,49.0,49.0,62.0,4.9,21.666666666666668,2.166666666666667,4,12,0.3333333333333333,0.25,0.08333333333333333,0.6666666666666666,0.0,0.5,12.5,11.5,9.416666666666666,27.5
3,15,0.999,0.5,0.9,0.5,0,kf_sa_seed_0000.npz,15,5,35,686,700,906,480,0.8440233236151603,0.10204081632653061,0.05393586005830904,0.8114285714285714,0.12428571428571429,0.06428571428571428,0.9147982062780269,0.08071748878923767,0.004484304932735426,0.7456521739130435,0.1673913043478261,0.08695652173913043,0.12472406181015452,0.12405439656853187,0.5008773640085786,0.08695652173913043,0.38079470198675497,0.8752759381898455,0.5649432534678437,157,44,113,0.2802547770700637,0.09166666666666666,0.13814756671899528,0.9647408250415517,0.9999583276602491,0.8165616572871548,0.9482486780696222,0.1395433171213749,0.006928893208386095,2.5256495121415387e-08,5.514412315079965e-05,0.9482486780696222,5.514412315079965e-05,0.048248678069622186,-0.8999448558768492,0.8867243867243867,0.5077298616761595,0.4922701383238405,0.4541545189504373,0.5381570179092044,0.5236899298401598,0.09039568836195122,0.10496107788284009,0.014565389520888872,19,13.708513708513708,69.3,23.0,0.557660951977217,1.0476660479574822,0.16666666666666666,55.0,55.0,55.0,5.5,16.666666666666668,1.666666666666667,5,12,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666,0.0,0.3333333333333333,7.0,0.0,2.8333333333333335,23.333333333333332
3,25,0.9,0.5,0.9,0.5,0,kf_sa_seed_0000.npz,25,5,35,676,700,896,480,0.7914201183431953,0.16420118343195267,0.04437869822485207,0.45,0.3742857142857143,0.1757142857142857,0.9885321100917431,0.011467889908256881,0.0,0.3456521739130435,0.41956521739130437,0.23478260869565218,0.22098214285714285,0.21551655364978062,0.6116573593936977,0.23478260869565218,0.17745535714285715,0.7790178571428571,0.7722063037249284,373,175,198,0.4691689008042895,0.3645833333333333,0.41031652989448997,0.9881736005257731,0.9956706968702953,0.9515443591235002,0.970468195470945,0.4425407620746231,0.33759088441441887,0.008250523331047801,0.02752502422467404,0.970468195470945,0.02752502422467404,0.07046819547094496,-0.872474975775326,0.7289244186046512,0.6560319042871385,0.34396809571286147,0.4835672020287405,0.7370033812341504,0.7188377156344958,0.12178526201093279,0.3610026649840007,0.2392174029730679,38,27.61627906976744,35.282051282051285,25.0,0.5619834163310975,1.0476660479574822,0.8333333333333334,49.0,44.0,87.0,4.9,18.833333333333332,1.8833333333333333,1,12,0.4166666666666667,0.25,0.16666666666666666,0.75,0.16666666666666666,0.3333333333333333,13.2,17.0,11.25,25.916666666666668
3,25,0.95,0.5,0.9,0.5,0,kf_sa_seed_0000.npz,25,5,35,676,700,896,480,0.7855029585798816,0.16863905325443787,0.04585798816568047,0.4614285714285714,0.38142857142857145,0.15714285714285714,0.981651376146789,0.01834862385321101,0.0,0.3521739130434783,0.43478260869565216,0.21304347826086956,0.23214285714285715,0.22656561627443159,0.5973474272038293,0.21304347826086956,0.18080357142857142,0.7678571428571429,0.7645348837209303,381,173,208,0.4540682414698163,0.36041666666666666,0.40185830429732866,0.9900472691633095,0.9974710419684757,0.9643958013924411,0.9756015630070277,0.430239822625337,0.29548208479374805,0.004406177018618036,0.015939197246276883,0.9756015630070277,0.015939197246276883,0.0756015630070277,-0.8840608027537231,0.7231104651162791,0.6442211055276382,0.3557788944723618,0.4713229078613694,0.7308812341504649,0.7118288294003597,0.11737471434791892,0.34406789121155573,0.22669317686363682,38,27.61627906976744,35.282051282051285,25.0,0.5619834163310975,1.0476660479574822,0.6666666666666666,52.0,44.0,91.0,5.2,19.5,1.9500000000000002,2,12,0.4166666666666667,0.25,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,13.6,18.0,10.916666666666666,26.083333333333332
3,25,0.98,0.5,0.9,0.5,0,kf_sa_seed_0000.npz,25,5,35,676,700,896,480,0.7869822485207101,0.16420118343195267,0.04881656804733728,0.5057142857142857,0.3628571428571429,0.13142857142857142,0.9793577981651376,0.020642201834862386,0.0,0.3934782608695652,0.42391304347826086,0.1826086956521739,0.22767857142857142,0.22227762265656162,0.5809832469086558,0.1826086956521739,0.20200892857142858,0.7723214285714286,0.7384393063583815,365,161,204,0.4410958904109589,0.33541666666666664,0.3810650887573964,0.9886089470368606,0.9991915956062969,0.9638784005301299,0.9825984031993678,0.4025411943689749,0.22739975135398616,0.0010082732623006468,0.009260382675195541,0.9825984031993678,0.009260382675195541,0.08259840319936773,-0.8907396173248044,0.7347383720930233,0.6172106824925816,0.3827893175074184,0.45920540997464077,0.7126225697379543,0.6910735719972246,0.11132694910416112,0.31199754413613845,0.20067059503197732,36,26.162790697674417,37.189189189189186,25.0,0.5619834163310975,1.0476660479574822,0.5,59.666666666666664,55.0,92.0,5.966666666666667,20.833333333333332,2.0833333333333335,3,12,0.4166666666666667,0.25,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,15.6,21.0,10.25,26.916666666666668
3,25,0.99,0.5,0.9,0.5,0,kf_sa_seed_0000.npz,25,5,35,676,700,896,480,0.7943786982248521,0.15384615384615385,0.051775147928994084,0.5571428571428572,0.33,0.11285714285714285,0.9747706422018348,0.02522935779816514,0.0,0.4326086956521739,0.40652173913043477,0.1608695652173913,0.22098214285714285,0.21587554846429996,0.5678201037096131,0.1608695652173913,0.22209821428571427,0.7790178571428571,0.7148997134670487,335,137,198,0.408955223880597,0.28541666666666665,0.3361963190184049,0.983461504623685,0.9997473468314932,0.9549886116454598,0.9837892194623408,0.3668732908415536,0.16520892245689747,0.00013214798547478405,0.005051822651320353,0.9837892194623408,0.005051822651320353,0.08378921946234075,-0.8949481773486797,0.7565406976744186,0.5917387127761767,0.40826128722382327,0.4536179205409975,0.6882544378698224,0.6553547676576437,0.1083094479266797,0.2771800459145871,0.16887059798790743,34,24.709302325581394,39.31428571428572,25.0,0.5619834163310975,1.0476660479574822,0.3333333333333333,48.0,48.0,61.0,4.800000000000001,21.5,2.15,4,12,0.3333333333333333,0.25,0.08333333333333333,0.5833333333333334,0.0,0.5,12.25,11.5,8.833333333333334,27.416666666666668
