name,power,mean_p_ok,q05_p_ok
Bump (Edges),0.9961,0.6527328979591838,0.6142857142857143
Gap (Edges),0.87956,0.6909744081632653,0.6632653061224489
Bump (Middle),0.36558,0.716696163265306,0.6836734693877551
Gap (Middle),0.45661,0.7117392653061225,0.6836734693877551
Bump (Sides),0.89092,0.6833079183673468,0.6469387755102042
Gap (Sides),0.98521,0.6757837142857143,0.6469387755102042
