name,power,mean_p_ok,std_p_ok,q01_p_ok,q05_p_ok,q50_p_ok,q95_p_ok,tau,W,n,alpha
Bump (Edges),0.99918,0.714707081339713,0.0282098659429112,0.6483253588516745,0.6674641148325358,0.7153110047846889,0.7583732057416267,0.8014354066985645,20,200,0.05
Gap (Edges),0.90065,0.773594736842105,0.020116069819088953,0.7248803827751196,0.7392344497607655,0.7727272727272727,0.8062200956937798,0.8014354066985645,20,200,0.05
Bump (Middle),0.57931,0.793644880382775,0.024561845554360123,0.7344497607655501,0.7535885167464114,0.7918660287081339,0.8349282296650716,0.8014354066985645,20,200,0.05
Gap (Middle),0.6444,0.7913457416267942,0.018934239574727108,0.7440191387559808,0.7583732057416267,0.7918660287081338,0.8205741626794257,0.8014354066985645,20,200,0.05
Bump (Sides),0.98013,0.7415165071770333,0.028839622601808574,0.6722488038277511,0.6913875598086123,0.7440191387559808,0.7870813397129186,0.8014354066985645,20,200,0.05
Gap (Sides),1.0,0.7308326794258371,0.01548301949709484,0.6913875598086123,0.7057416267942582,0.7344497607655501,0.7535885167464114,0.8014354066985645,20,200,0.05
