name,power,mean_p_ok,q05_p_ok
Uniform,0.03879,0.7421435102040815,0.7122448979591837
"Beta(1.2, 0.8)",0.60325,0.704747306122449,0.6714285714285714
"Beta(0.6, 0.6)",0.76104,0.6954778775510203,0.6591836734693878
"Beta(1.6, 1.6)",0.52717,0.7087422857142857,0.6793877551020437
"Phi(Laplace(0,1))",0.54039,0.7079243673469389,0.6755102040816326
Discrete Uniform,0.12635,0.7310895510204081,0.7
