name,is_null,legacy_rejection_rate,credible_consistent_rate,credible_undecided_rate,credible_inconsistent_rate,credible_correct_rate,credible_false_classification_rate,decision_coverage,selective_accuracy,credible_detection_power,credible_false_alarm_rate,not_confidently_consistent_rate,mean_p_ok,std_p_ok,q01_p_ok,q05_p_ok,q50_p_ok,q95_p_ok,mean_q_consistent,mean_q_inconsistent,q05_q_inconsistent,q50_q_inconsistent,q95_q_inconsistent,p_ok_threshold,W,n,alpha,prior_ok,eta,tau_ok
Uniform,True,0.0335,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.8378920574162678,0.020378009015743142,0.7870813397129186,0.8014354066985645,0.839712918660287,0.8684210526315789,0.9995350280358789,0.00046497196412097734,8.842567837793375e-05,0.0003162492774204754,0.0013774329860731995,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
"Beta(1.2, 0.8)",False,0.80983,0.99994,6e-05,0.0,0.0,0.99994,0.99994,0.0,0.0,,5.999999999994898e-05,0.7763686124401912,0.025615572491136544,0.7153110047846889,0.7344497607655501,0.7775119617224879,0.8157894736842104,0.9957712243069059,0.004228775693093889,0.0008153465595374058,0.00309020236342256,0.010995095315522818,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
"Beta(0.6, 0.6)",False,0.89003,0.9997,0.0003,0.0,0.0,0.9997,0.9997,0.0,0.0,,0.00029999999999996696,0.7666803349282295,0.02652232750829084,0.700956937799043,0.7200956937799042,0.7679425837320573,0.8110047846889952,0.9942996848107403,0.005700315189259667,0.0009744519612757607,0.004178510704319378,0.016002048196487675,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
"Beta(1.6, 1.6)",False,0.74028,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.7836952631578946,0.02343167519585225,0.7248803827751196,0.7440191387559808,0.7822966507177033,0.8205741626794257,0.9967575188337177,0.0032424811662823,0.0006797753812615984,0.0026455980950566343,0.008452868108011996,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
"Phi(Laplace(0,1))",False,0.60268,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.7920423923444975,0.02524812031629214,0.7296650717703348,0.7488038277511961,0.7918660287081338,0.8301435406698564,0.997397094430438,0.0026029055695619956,0.00046727520296359793,0.001921209450970055,0.007382263473710003,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
Discrete Uniform,False,0.15189,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.8221723923444977,0.02254034127313957,0.7679425837320573,0.7822966507177033,0.8205741626794257,0.8588516746411482,0.9991143439467935,0.000885656053206586,0.0001377300118697122,0.0006797753812615981,0.0026455980950566343,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
