name,power,mean_p_ok,std_p_ok,q01_p_ok,q05_p_ok,q50_p_ok,q95_p_ok,tau,W,n,alpha
Uniform,0.0335,0.8378920574162678,0.020378009015743142,0.7870813397129186,0.8014354066985645,0.839712918660287,0.8684210526315789,0.8014354066985645,20,200,0.05
"Beta(1.2, 0.8)",0.80983,0.7763686124401912,0.025615572491136544,0.7153110047846889,0.7344497607655501,0.7775119617224879,0.8157894736842104,0.8014354066985645,20,200,0.05
"Beta(0.6, 0.6)",0.89003,0.7666803349282295,0.02652232750829084,0.700956937799043,0.7200956937799042,0.7679425837320573,0.8110047846889952,0.8014354066985645,20,200,0.05
"Beta(1.6, 1.6)",0.74028,0.7836952631578946,0.02343167519585225,0.7248803827751196,0.7440191387559808,0.7822966507177033,0.8205741626794257,0.8014354066985645,20,200,0.05
"Phi(Laplace(0,1))",0.60268,0.7920423923444975,0.02524812031629214,0.7296650717703348,0.7488038277511961,0.7918660287081338,0.8301435406698564,0.8014354066985645,20,200,0.05
Discrete Uniform,0.15189,0.8221723923444977,0.02254034127313957,0.7679425837320573,0.7822966507177033,0.8205741626794257,0.8588516746411482,0.8014354066985645,20,200,0.05
