name,is_null,legacy_rejection_rate,credible_consistent_rate,credible_undecided_rate,credible_inconsistent_rate,credible_correct_rate,credible_false_classification_rate,decision_coverage,selective_accuracy,credible_detection_power,credible_false_alarm_rate,not_confidently_consistent_rate,mean_p_ok,std_p_ok,q01_p_ok,q05_p_ok,q50_p_ok,q95_p_ok,mean_q_consistent,mean_q_inconsistent,q05_q_inconsistent,q50_q_inconsistent,q95_q_inconsistent,p_ok_threshold,W,n,alpha,prior_ok,eta,tau_ok
Uniform (H0),True,0.0335,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.8378920574162678,0.020378009015743142,0.7870813397129186,0.8014354066985645,0.839712918660287,0.8684210526315789,0.9995350280358789,0.00046497196412097734,8.842567837793375e-05,0.0003162492774204754,0.0013774329860731995,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
Bump (Edges),False,0.99883,0.94264,0.05736,0.0,0.0,0.94264,0.94264,0.0,0.0,,0.05735999999999997,0.7149335885167463,0.02821434096507477,0.6483253588516745,0.6674641148325358,0.7153110047846889,0.7583732057416267,0.9779752766217473,0.022024723378252637,0.005585077151688791,0.018044756105721663,0.05281714747739755,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
Gap (Edges),False,0.902,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.7735689473684211,0.020054746201746253,0.7248803827751196,0.7392344497607655,0.7727272727272727,0.8062200956937798,0.9958422983031181,0.004157701696881784,0.0011605341063742661,0.0035986900329589844,0.00965311970790392,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
Bump (Middle),False,0.57861,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.7937269377990429,0.024408585003810344,0.7344497607655501,0.7535885167464114,0.7918660287081339,0.8349282296650716,0.9975832060473196,0.002416793952680342,0.0003851844757638242,0.001921209450970042,0.006429906159115981,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
Gap (Middle),False,0.64473,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.7912919138755979,0.0190148936912782,0.7440191387559808,0.7583732057416267,0.7918660287081338,0.8205741626794257,0.9976484440420726,0.0023515559579273186,0.0006797753812615984,0.001921209450970055,0.005585077151688791,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
Bump (Sides),False,0.9795,0.99206,0.00794,0.0,0.0,0.99206,0.99206,0.0,0.0,,0.007939999999999947,0.7414193779904306,0.02888907919072839,0.6722488038277511,0.6913875598086123,0.7440191387559807,0.7870813397129186,0.9882906480382581,0.011709351961741896,0.0022580263012817892,0.008452868108012008,0.03175364694690855,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
Gap (Sides),False,1.0,0.99963,0.00037,0.0,0.0,0.99963,0.99963,0.0,0.0,,0.00036999999999998145,0.7307982775119617,0.015452387612402358,0.6913875598086123,0.7057416267942582,0.7296650717703348,0.7535885167464114,0.9869771882963411,0.013022811703658906,0.006429906159115981,0.012491539802336533,0.022780913784786805,0.8014354066985645,20,200,0.05,0.5,0.95,0.5
