scenario,interval,channel_type,channel_id,metric,n_runs,mean,std,sem,ci95_low,ci95_high,min,max
nominal,nominal,A,S1,b,100,0.922029093422065,2.2316322462394835e-16,2.2316322462394835e-17,0.922029093422065,0.922029093422065,0.9220290934220647,0.9220290934220647
nominal,nominal,A,S1,b_norm,100,1.0,0.0,0.0,1.0,1.0,1.0,1.0
nominal,nominal,A,S1,d,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,nominal,A,S1,d_norm,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,nominal,A,S1,p_ok,100,0.9610145467110324,3.3474483693592255e-16,3.347448369359225e-17,0.9610145467110323,0.9610145467110325,0.9610145467110327,0.9610145467110327
nominal,nominal,A,S1,selected_score,100,1.0,0.0,0.0,1.0,1.0,1.0,1.0
nominal,nominal,A,S1,u,100,0.07797090657793518,1.3947701538996772e-17,1.3947701538996772e-18,0.07797090657793518,0.07797090657793518,0.07797090657793519,0.07797090657793519
nominal,nominal,A,S2,b,100,0.922029093422065,2.2316322462394835e-16,2.2316322462394835e-17,0.922029093422065,0.922029093422065,0.9220290934220647,0.9220290934220647
nominal,nominal,A,S2,b_norm,100,1.0,0.0,0.0,1.0,1.0,1.0,1.0
nominal,nominal,A,S2,d,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,nominal,A,S2,d_norm,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,nominal,A,S2,p_ok,100,0.9610145467110324,3.3474483693592255e-16,3.347448369359225e-17,0.9610145467110323,0.9610145467110325,0.9610145467110327,0.9610145467110327
nominal,nominal,A,S2,selected_score,100,1.0,0.0,0.0,1.0,1.0,1.0,1.0
nominal,nominal,A,S2,u,100,0.07797090657793518,1.3947701538996772e-17,1.3947701538996772e-18,0.07797090657793518,0.07797090657793518,0.07797090657793519,0.07797090657793519
nominal,nominal,C_F,overall,b,100,0.7954417658363812,0.008456517117276319,0.0008456517117276319,0.793784288481395,0.7970992431913673,0.7615892752121217,0.8132545795554758
