num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,cache_file,warmup_steps,transition_window_before_steps,transition_window_after_steps,nominal_sample_count,fault_sample_count,steady_sample_count,transition_sample_count,nominal_consistent_rate,nominal_undecided_rate,nominal_false_inconsistent_rate,fault_false_consistent_rate,fault_undecided_rate,fault_inconsistent_rate,steady_nominal_consistent_rate,steady_nominal_undecided_rate,steady_nominal_false_inconsistent_rate,steady_fault_false_consistent_rate,steady_fault_undecided_rate,steady_fault_inconsistent_rate,steady_undecided_rate,steady_balanced_correct_rate,steady_decision_coverage,steady_selective_accuracy,undecided_total_count,undecided_in_transition_count,undecided_outside_transition_count,undecided_localization_precision,transition_undecided_sample_rate,decision_coverage,selective_accuracy,selective_risk,balanced_three_state_accuracy,q_inconsistent_roc_auc,q_inconsistent_average_precision,mean_q_inconsistent_nominal,mean_q_inconsistent_fault,q_inconsistent_mean_separation,region_transition_count,region_transitions_per_1000_steps,mean_region_dwell_steps,initial_consistent_delay_steps,mean_position_error_nominal,mean_position_error_fault,event_detection_rate,mean_detection_delay_steps,median_detection_delay_steps,worst_detection_delay_steps,mean_detection_delay_seconds,mean_recovery_delay_steps,mean_recovery_delay_seconds,undetected_event_count,transition_count,transition_completion_rate,mediated_transition_rate,direct_transition_rate,transition_undecided_presence_rate,onset_mediated_transition_rate,recovery_mediated_transition_rate,mean_transition_settling_delay_steps,median_transition_settling_delay_steps,mean_undecided_steps_per_transition,mean_transition_path_length_steps
3,20,0.9,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,20,5,35,681,700,901,480,0.6490455212922174,0.31130690161527164,0.039647577092511016,0.29285714285714287,0.5557142857142857,0.15142857142857144,0.8662131519274376,0.13378684807256236,0.0,0.20652173913043478,0.5956521739130435,0.19782608695652174,0.36958934517203107,0.5320196194419797,0.6304106548279689,0.8327464788732394,601,268,333,0.4459234608985025,0.5583333333333333,0.5648081100651702,0.7025641025641025,0.2974358974358975,0.4002370463603944,0.7436920495070275,0.728989288224399,0.1308841310684547,0.39511892358473916,0.26423479251628446,89,64.44605358435916,15.344444444444445,24.0,0.5599517301089184,1.0476660479574822,0.5,39.0,43.0,49.0,3.9000000000000004,30.166666666666668,3.016666666666667,3,12,0.3333333333333333,0.3333333333333333,0.0,1.0,0.16666666666666666,0.5,22.25,24.5,19.75,30.75
3,20,0.95,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,20,5,35,681,700,901,480,0.7033773861967695,0.2555066079295154,0.041116005873715125,0.3414285714285714,0.5171428571428571,0.14142857142857143,0.9251700680272109,0.07482993197278912,0.0,0.25,0.5630434782608695,0.18695652173913044,0.32408435072142067,0.5560632948831706,0.6759156492785794,0.8111658456486043,536,244,292,0.4552238805970149,0.5083333333333333,0.611875452570601,0.6840236686390533,0.3159763313609467,0.42240297881267047,0.741543947975666,0.7226785086805616,0.12273152650885155,0.3743762225605505,0.2516446960516989,71,51.412020275162924,19.180555555555557,25.0,0.5599517301089184,1.0476660479574822,0.3333333333333333,38.5,38.5,50.0,3.85,29.5,2.95,4,12,0.3333333333333333,0.3333333333333333,0.0,1.0,0.16666666666666666,0.5,22.75,25.5,18.5,30.916666666666668
3,20,0.98,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,20,5,35,681,700,901,480,0.7342143906020558,0.22173274596182085,0.04405286343612335,0.40285714285714286,0.4714285714285714,0.12571428571428572,0.9591836734693877,0.04081632653061224,0.0,0.29782608695652174,0.5304347826086957,0.17173913043478262,0.290788013318535,0.5654614019520852,0.709211986681465,0.7856025039123631,481,219,262,0.4553014553014553,0.45625,0.6517016654598118,0.6533333333333333,0.3466666666666667,0.4299643381581708,0.7278980490874764,0.704446842834573,0.11293290073252639,0.3373982752233055,0.22446537449077913,39,28.240405503258508,34.525,28.0,0.5599517301089184,1.0476660479574822,0.3333333333333333,42.5,42.5,54.0,4.25,24.5,2.45,4,12,0.3333333333333333,0.25,0.08333333333333333,0.8333333333333334,0.16666666666666666,0.3333333333333333,15.75,16.0,14.416666666666666,28.583333333333332
3,20,0.99,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,20,5,35,681,700,901,480,0.73568281938326,0.2173274596182085,0.04698972099853157,0.44571428571428573,0.4471428571428571,0.10714285714285714,0.9478458049886621,0.05215419501133787,0.0,0.33260869565217394,0.5152173913043478,0.15217391304347827,0.2885682574916759,0.5500098590160702,0.7114317425083241,0.7613104524180967,461,201,260,0.4360086767895879,0.41875,0.666183924692252,0.6260869565217392,0.3739130434782608,0.42141283826305853,0.7042133417243549,0.6720668025093622,0.10732116388060084,0.29845349276382666,0.19113232888322582,45,32.58508327299059,30.02173913043478,28.0,0.5599517301089184,1.0476660479574822,0.3333333333333333,48.0,48.0,61.0,4.800000000000001,25.333333333333332,2.533333333333333,4,12,0.25,0.16666666666666666,0.08333333333333333,0.75,0.0,0.3333333333333333,9.666666666666666,6.0,13.166666666666666,28.666666666666668
3,25,0.9,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,25,5,35,676,700,896,480,0.7307692307692307,0.22485207100591717,0.04437869822485207,0.38285714285714284,0.47714285714285715,0.14,0.9518348623853211,0.0481651376146789,0.0,0.2782608695652174,0.532608695652174,0.1891304347826087,0.296875,0.5704826485839649,0.703125,0.7968253968253968,486,220,266,0.45267489711934156,0.4583333333333333,0.6468023255813954,0.6651685393258427,0.33483146067415726,0.43538461538461537,0.7370033812341504,0.7188377156344958,0.12178526201093279,0.3610026649840007,0.2392174029730679,63,45.78488372093023,21.5,28.0,0.5619834163310975,1.0476660479574822,0.3333333333333333,40.5,40.5,52.0,4.05,23.833333333333332,2.3833333333333333,4,12,0.3333333333333333,0.25,0.08333333333333333,0.8333333333333334,0.16666666666666666,0.3333333333333333,14.25,14.0,14.333333333333334,28.083333333333332
3,25,0.95,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,25,5,35,676,700,896,480,0.7470414201183432,0.20857988165680474,0.04437869822485207,0.40714285714285714,0.46,0.13285714285714287,0.9701834862385321,0.02981651376146789,0.0,0.2956521739130435,0.5239130434782608,0.18043478260869567,0.28348214285714285,0.5753091344236139,0.7165178571428571,0.7881619937694704,463,209,254,0.4514038876889849,0.4354166666666667,0.6635174418604651,0.6549835706462213,0.34501642935377874,0.43994928148774304,0.7308812341504649,0.7118288294003597,0.11737471434791892,0.34406789121155573,0.22669317686363682,37,26.88953488372093,36.21052631578947,28.0,0.5619834163310975,1.0476660479574822,0.3333333333333333,42.0,42.0,54.0,4.2,23.833333333333332,2.3833333333333333,4,12,0.3333333333333333,0.25,0.08333333333333333,0.8333333333333334,0.16666666666666666,0.3333333333333333,14.5,14.0,13.5,28.166666666666668
3,25,0.98,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,25,5,35,676,700,896,480,0.7455621301775148,0.20710059171597633,0.047337278106508875,0.43142857142857144,0.44857142857142857,0.12,0.9610091743119266,0.0389908256880734,0.0,0.30869565217391304,0.5239130434782608,0.1673913043478261,0.28794642857142855,0.5642002393298763,0.7120535714285714,0.7774294670846394,454,196,258,0.43171806167400884,0.4083333333333333,0.6700581395348837,0.6377440347071583,0.36225596529284165,0.4327810650887574,0.7126225697379543,0.6910735719972246,0.11132694910416112,0.31199754413613845,0.20067059503197732,39,28.343023255813954,34.4,28.0,0.5619834163310975,1.0476660479574822,0.3333333333333333,45.0,45.0,57.0,4.5,24.5,2.45,4,12,0.25,0.16666666666666666,0.08333333333333333,0.75,0.0,0.3333333333333333,9.333333333333334,5.0,12.666666666666666,28.583333333333332
3,25,0.99,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,25,5,35,676,700,896,480,0.742603550295858,0.20710059171597633,0.05029585798816568,0.48428571428571426,0.41,0.10571428571428572,0.9518348623853211,0.0481651376146789,0.0,0.36086956521739133,0.4891304347826087,0.15,0.27455357142857145,0.5509174311926606,0.7254464285714286,0.7446153846153846,427,181,246,0.4238875878220141,0.3770833333333333,0.6896802325581395,0.60695468914647,0.39304531085353,0.4241589180050719,0.6882544378698224,0.6553547676576437,0.1083094479266797,0.2771800459145871,0.16887059798790743,37,26.88953488372093,36.21052631578947,28.0,0.5619834163310975,1.0476660479574822,0.3333333333333333,49.5,49.5,63.0,4.95,25.5,2.5500000000000003,4,12,0.25,0.16666666666666666,0.08333333333333333,0.75,0.0,0.3333333333333333,9.666666666666666,5.0,11.833333333333334,28.666666666666668
3,35,0.9,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,35,5,35,666,700,886,480,0.7462462462462462,0.20270270270270271,0.05105105105105105,0.44571428571428573,0.4357142857142857,0.11857142857142858,0.9647887323943662,0.035211267605633804,0.0,0.30869565217391304,0.5217391304347826,0.16956521739130434,0.2878103837471783,0.5671769748928353,0.7121896162528216,0.7749603803486529,440,185,255,0.42045454545454547,0.3854166666666667,0.677891654465593,0.6263498920086393,0.37365010799136067,0.4324088374088374,0.7056542256542256,0.6912075560069781,0.11600532586196037,0.3068630886118991,0.1908577627499387,34,24.890190336749633,39.02857142857143,35.0,0.5599826822119577,1.0476660479574822,0.3333333333333333,48.0,48.0,61.0,4.800000000000001,24.166666666666668,2.416666666666667,4,12,0.25,0.16666666666666666,0.08333333333333333,0.75,0.0,0.3333333333333333,8.666666666666666,2.0,11.75,28.416666666666668
3,35,0.95,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,35,5,35,666,700,886,480,0.7432432432432432,0.2042042042042042,0.052552552552552555,0.4614285714285714,0.4257142857142857,0.11285714285714285,0.960093896713615,0.03990610328638498,0.0,0.3239130434782609,0.5152173913043478,0.1608695652173913,0.2866817155756208,0.5604817309655031,0.7133182844243793,0.7642405063291139,434,180,254,0.4147465437788018,0.375,0.6822840409956076,0.6158798283261803,0.38412017167381973,0.42805019305019304,0.6961711711711712,0.6821299315457403,0.11456230703159048,0.2934455485857675,0.178883241554177,30,21.961932650073205,44.064516129032256,35.0,0.5599826822119577,1.0476660479574822,0.3333333333333333,49.0,49.0,62.0,4.9,24.833333333333332,2.4833333333333334,4,12,0.25,0.16666666666666666,0.08333333333333333,0.6666666666666666,0.0,0.3333333333333333,9.0,3.0,11.416666666666666,28.5
