num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,event_index,event_name,event_start,event_end,detected,detection_delay_steps,detection_delay_seconds,recovery_delay_steps,recovery_delay_seconds,event_consistent_rate,event_undecided_rate,event_inconsistent_rate,event_mean_q_inconsistent,event_max_q_inconsistent,event_mean_position_error,event_max_position_error
3,25,0.9,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,40.0,4.0,0.23,0.77,0.0,0.16445159516024602,0.6337324841513242,0.7583449121460678,2.077781262789668
3,25,0.9,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,35.0,3.5,0.16,0.82,0.02,0.5863391186403322,0.9715095042899096,0.3108220514418344,1.0256832163208238
3,25,0.9,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,23.0,2.3000000000000003,0.13,0.86,0.01,0.44506983524228116,0.9551554391900039,0.384027147034413,0.9700072176398135
3,25,0.9,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,29.0,2.9000000000000004,40.0,4.0,0.17,0.12,0.71,0.7662297580490939,1.0,3.0762588689022863,4.685813908554918
3,25,0.9,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.78,0.21,0.01,0.10836780310792055,0.9618507048901047,0.7730004400459154,1.9952803799749892
3,25,0.95,0.5,0.95,0.5,0,0,measurement_outliers,100,200,1,54.0,5.4,5.0,0.5,0.44,0.36,0.2,0.34721176781668533,0.9997266121712508,1.2582084760859429,3.970927422779099
3,25,0.95,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,40.0,4.0,0.27,0.73,0.0,0.13690417414437872,0.5605172084982366,0.7583449121460678,2.077781262789668
3,25,0.95,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,34.0,3.4000000000000004,0.16,0.82,0.02,0.5778881084911829,0.9572864831956905,0.3108220514418344,1.0256832163208238
3,25,0.95,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,23.0,2.3000000000000003,0.14,0.85,0.01,0.40646310157204657,0.9500974900242475,0.384027147034413,0.9700072176398135
3,25,0.95,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,30.0,3.0,41.0,4.1000000000000005,0.2,0.1,0.7,0.7501652275473907,1.0,3.0762588689022863,4.685813908554918
3,25,0.95,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.82,0.18,0.0,0.09492142945460305,0.9068512681588987,0.7730004400459154,1.9952803799749892
3,25,0.98,0.5,0.95,0.5,0,0,measurement_outliers,100,200,1,57.0,5.7,5.0,0.5,0.44,0.39,0.17,0.3371275532081121,0.9977595556912422,1.2582084760859429,3.970927422779099
3,25,0.98,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,40.0,4.0,0.37,0.63,0.0,0.09515591135992148,0.4272004433793752,0.7583449121460678,2.077781262789668
3,25,0.98,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,34.0,3.4000000000000004,0.17,0.83,0.0,0.5513298084583045,0.90339840665553,0.3108220514418344,1.0256832163208238
3,25,0.98,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,23.0,2.3000000000000003,0.16,0.84,0.0,0.34107063693216766,0.9324392267954278,0.384027147034413,0.9700072176398135
3,25,0.98,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,33.0,3.3000000000000003,45.0,4.5,0.22,0.11,0.67,0.721298097612575,1.0,3.0762588689022863,4.685813908554918
3,25,0.98,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.83,0.17,0.0,0.06900040069094425,0.7253873262951813,0.7730004400459154,1.9952803799749892
3,25,0.99,0.5,0.95,0.5,0,0,measurement_outliers,100,200,1,63.0,6.300000000000001,5.0,0.5,0.45,0.45,0.1,0.3085295867920168,0.9849797536827289,1.2582084760859429,3.970927422779099
3,25,0.99,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,40.0,4.0,0.62,0.38,0.0,0.06344630340601032,0.3083752110267373,0.7583449121460678,2.077781262789668
3,25,0.99,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,35.0,3.5,0.18,0.82,0.0,0.5063971624295758,0.8526014830583027,0.3108220514418344,1.0256832163208238
3,25,0.99,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,24.0,2.4000000000000004,0.21,0.79,0.0,0.2847518004499599,0.898964295264008,0.384027147034413,0.9700072176398135
3,25,0.99,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,36.0,3.6,49.0,4.9,0.25,0.11,0.64,0.6916299042647897,0.9999999999999998,3.0762588689022863,4.685813908554918
3,25,0.99,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.84,0.16,0.0,0.04275278202987867,0.4826854114957825,0.7730004400459154,1.9952803799749892
3,35,0.9,0.5,0.95,0.5,0,0,measurement_outliers,100,200,1,61.0,6.1000000000000005,2.0,0.2,0.44,0.4,0.16,0.3462576240598225,0.9992933741804624,1.2582084760859429,3.970927422779099
3,35,0.9,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.46,0.54,0.0,0.08092078183242789,0.3477559368517718,0.7583449121460678,2.077781262789668
3,35,0.9,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,34.0,3.4000000000000004,0.17,0.81,0.02,0.5518509424096485,0.9512140543799877,0.3108220514418344,1.0256832163208238
3,35,0.9,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,24.0,2.4000000000000004,0.19,0.81,0.0,0.33150282610756926,0.9295237143346183,0.384027147034413,0.9700072176398135
3,35,0.9,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,35.0,3.5,46.0,4.6000000000000005,0.26,0.09,0.65,0.6943365577487203,1.0,3.0762588689022863,4.685813908554918
3,35,0.9,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.8,0.2,0.0,0.07158644406255264,0.6485579485643322,0.7730004400459154,1.9952803799749892
3,35,0.95,0.5,0.95,0.5,0,0,measurement_outliers,100,200,1,62.0,6.2,3.0,0.30000000000000004,0.45,0.4,0.15,0.33919178661114785,0.9967912996123459,1.2582084760859429,3.970927422779099
3,35,0.95,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.51,0.49,0.0,0.06786116600368414,0.29097265710328546,0.7583449121460678,2.077781262789668
