k,d_norm_griebel_innovation_mean,d_norm_radial_mean,d_norm_x_mean,d_norm_y_mean,d_norm_comp_mean,d_norm_overall_mean,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_comp_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_comp_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
299,0.05142857143,0.1383406339,0.1333029188,0.1369325932,0.253945852,0.1958996837,0.9486486486,0.822953345,0.8495480136,0.8464161855,0.7191393064,0.7712546808,0.05405405405,0.1070776186,0.1079808623,0.1070969995,0.1088135948,0.1078966995,0.08573208013,0.1066356893,0.2109848623,0.09451377189,0.1235078457,1.968029098,1.236433701,2.977568537,0.5853457781
300,0.05228571429,0.1392485193,0.1336190938,0.1365109375,0.2538607896,0.1962864155,0.9478378378,0.8220006426,0.8492753168,0.8467885861,0.7192200865,0.7708543465,0.05405405405,0.1076129318,0.1078891569,0.1070659128,0.1087604813,0.1080760767,0.08599315353,0.1066377337,0.2109848623,0.09494891923,0.1241928914,1.973538261,1.236433701,2.977568537,0.5827719609
301,0.05228571429,0.1374144864,0.1339527313,0.1376382288,0.2550843698,0.1956351251,0.9478378378,0.8235069411,0.8489946979,0.845825449,0.718078734,0.7713339164,0.05405405405,0.1081489094,0.108403538,0.1076337615,0.109253614,0.108495693,0.08453406732,0.1066396262,0.2109848623,0.09349310434,0.1224186042,1.985230711,1.236433701,2.977568537,0.6128504774
302,0.05142857143,0.1382663614,0.1349422565,0.1368052924,0.2551966879,0.1961150618,0.9486486486,0.8227840432,0.8481010214,0.8465710433,0.7179954864,0.7709250713,0.05405405405,0.1080500703,0.1082848231,0.1075683592,0.1091434576,0.1084173435,0.08427589856,0.1066413781,0.2109987218,0.09409180245,0.1231909217,1.987398848,1.236433701,2.977568537,0.6009780369
303,0.05257142857,0.1390306649,0.1341304936,0.136451639,0.2541105227,0.1960406275,0.9475675676,0.8219461271,0.8488305559,0.8468858376,0.7189476552,0.7709284368,0.05405405405,0.1085351822,0.1081736386,0.1075070072,0.1091126633,0.1086021616,0.0855248453,0.1072042738,0.2114015851,0.09448496853,0.1237862818,1.992111691,1.236433701,2.977568537,0.5609233247
304,0.05171428571,0.1375735244,0.1336521824,0.1367183614,0.2538958522,0.1952947582,0.9483783784,0.8232735642,0.8492514763,0.8466498528,0.7191405285,0.7716132129,0.05405405405,0.1084108117,0.1080695793,0.107449499,0.1090430427,0.1085242239,0.08547001344,0.1071687775,0.2113783474,0.09354147977,0.1225210299,2.003167011,1.236433701,2.977568537,0.5406943499
305,0.05114285714,0.1391660363,0.1329633672,0.1372939702,0.2537962073,0.1961185441,0.9489189189,0.8218727685,0.8498690852,0.846130909,0.7192301443,0.7708893064,0.05405405405,0.1082938901,0.1079722524,0.1073956335,0.1089788705,0.1084587907,0.08577472367,0.1071348143,0.2113556978,0.09468460809,0.1239802864,2.003299946,1.236433701,2.977568537,0.542131303
306,0.05142857143,0.1399494,0.1334528771,0.1375109421,0.2544097688,0.1968440833,0.9486486486,0.821199882,0.8494399411,0.845935345,0.7187074183,0.7702642306,0.05405405405,0.108184075,0.1078812787,0.1073452148,0.1088719213,0.1083716514,0.08576527828,0.1071022852,0.2113336151,0.09526152512,0.1247080805,2.009690042,1.236433701,2.977568537,0.5383232744
307,0.052,0.1391456626,0.1336882591,0.1381108875,0.2552206395,0.1968573317,0.9481081081,0.8219472975,0.8492325517,0.8453986907,0.7180207856,0.7702811988,0.05405405405,0.1080810263,0.1077962932,0.1072980537,0.1087595549,0.1082832788,0.08573318577,0.1070710998,0.2113120787,0.09474427206,0.1240121894,2.013058051,1.236433701,2.977568537,0.5470908643
308,0.05085714286,0.1379921222,0.1311084578,0.1379790321,0.2528486971,0.1950966418,0.9491891892,0.8230042814,0.8515364764,0.845514067,0.7201081807,0.7718483227,0.05405405405,0.1079844086,0.1077169455,0.1072539671,0.1088452446,0.1082924227,0.08491868912,0.1070411752,0.2112910688,0.09398729698,0.1230035143,1.993624914,1.236433701,2.977568537,0.5608450531
309,0.05057142857,0.1378051623,0.1304798658,0.1360086941,0.250719038,0.1939007584,0.9494594595,0.8231980314,0.8521015096,0.8472734547,0.7219842095,0.7729105447,0.05405405405,0.1078938921,0.1076429001,0.1072127788,0.108934783,0.1083036261,0.083676647,0.1070124354,0.2112705663,0.09388669097,0.1228550226,1.995937864,1.236433701,2.977568537,0.5606682017
310,0.05,0.138909096,0.1305213847,0.1369479037,0.251593217,0.1949255245,0.95,0.8222470662,0.8520692028,0.8464235217,0.7212248169,0.7720222628,0.05405405405,0.1078091549,0.1075738363,0.1071743197,0.1088278323,0.1082184934,0.08420111987,0.1069848105,0.211250553,0.09465214773,0.1238483563,1.986179163,1.236433701,2.977568537,0.5596175908
311,0.05114285714,0.1391323152,0.1311290428,0.1378009481,0.2528487746,0.1956843156,0.9489189189,0.822081941,0.8515356248,0.8456610392,0.7201414534,0.7713794767,0.05405405405,0.1077298837,0.1075094484,0.1071384277,0.1086912793,0.1081208642,0.08420481094,0.106958236,0.2112310115,0.0948124821,0.1240531172,2.005373154,1.236433701,2.977568537,0.5406651261
312,0.05,0.1415325431,0.1324354972,0.1374144012,0.2536729603,0.1973217711,0.95,0.8199680419,0.8503784577,0.8459991599,0.7194329868,0.7699462224,0.05405405405,0.1076557747,0.1074494457,0.1071049478,0.1085899981,0.1080400072,0.08550129046,0.1069326526,0.2112119248,0.09646413175,0.1262040708,2.00675032,1.236433701,2.977568537,0.5075795974
313,0.05028571429,0.1399258302,0.1321192073,0.137048922,0.2531125073,0.1962441105,0.9497297297,0.8214235857,0.8506669206,0.8463264136,0.719935129,0.7709184019,0.05405405405,0.1075865345,0.107393552,0.1070737325,0.1085851701,0.1080105589,0.08505861751,0.1069080053,0.2111932769,0.09538650735,0.124783147,1.999487085,1.236433701,2.977568537,0.5105196386
314,0.05114285714,0.139843239,0.1342508862,0.1367676491,0.2546970756,0.1970544342,0.9489189189,0.8215081288,0.8487619989,0.8465713562,0.7185644621,0.7702266956,0.05405405405,0.1075218808,0.1073415056,0.1070446412,0.108437419,0.107909829,0.08654093032,0.1068842431,0.2111750524,0.09536228383,0.1247309307,1.998012225,1.236433701,2.977568537,0.5300003038
315,0.05114285714,0.1381389807,0.1346355865,0.1359309641,0.2543018325,0.1960175942,0.9489189189,0.823042709,0.8484269685,0.847319703,0.7189187035,0.771159593,0.05405405405,0.1074615426,0.1072930588,0.1070175404,0.1084222683,0.1078785778,0.08604497244,0.106861319,0.2111572365,0.09422355786,0.1232265197,2.003823051,1.236433701,2.977568537,0.5446832393
316,0.05028571429,0.1380325547,0.1337271131,0.1362955734,0.2538309256,0.1957578064,0.9497297297,0.8231465013,0.8492427236,0.8469902383,0.7193358627,0.7713954093,0.05405405405,0.1074052605,0.1072479775,0.1069923036,0.1084146893,0.1078526001,0.08622256787,0.1068391889,0.2111398151,0.0941799304,0.1231508685,2.00186819,1.236433701,2.977568537,0.5523292273
317,0.04971428571,0.1388646797,0.1343179244,0.1353830326,0.2535349587,0.196045544,0.9502702703,0.8224180063,0.8487162397,0.8478065194,0.7196018416,0.7711479266,0.05405405405,0.1073527866,0.107206041,0.1069688108,0.1083988438,0.1078204224,0.08701547787,0.107379086,0.2115256378,0.0947661675,0.1239056004,1.996274029,1.236433701,2.977568537,0.5324548678
318,0.05,0.1376729349,0.1348729277,0.1369509164,0.2553957271,0.1964220162,0.95,0.823491703,0.8482232022,0.8464031262,0.7179833653,0.7708404053,0.05405405405,0.1073038851,0.1071670411,0.106946949,0.1082465442,0.1077247025,0.0859322945,0.1073214268,0.2114857277,0.09397413855,0.1228563544,1.999120591,1.236433701,2.977568537,0.5133803305
319,0.04914285714,0.1367952081,0.1354301129,0.1374651833,0.2563062354,0.1964243419,0.9508108108,0.8242881691,0.8477233852,0.8459408342,0.7171943207,0.770854301,0.05405405405,0.1072583317,0.1071307819,0.1069266112,0.1081563113,0.1076612873,0.0850057826,0.1072660919,0.2114608944,0.09338941008,0.122082665,1.987552625,1.236433701,2.977568537,0.4966008047
320,0.04971428571,0.1376629283,0.1353745048,0.1359045785,0.2549067411,0.1961635472,0.9502702703,0.8235219533,0.8477733574,0.8473331803,0.718425829,0.7710825422,0.05405405405,0.1072159136,0.1070970793,0.1069076967,0.1082188565,0.1076728852,0.0855214782,0.1072129411,0.2114228386,0.09400147096,0.1228700899,1.98513667,1.236433701,2.977568537,0.4748264119
321,0.05,0.1380472606,0.1370097529,0.1355095092,0.255789987,0.1967343609,0.95,0.8231831956,0.8463403744,0.8476883366,0.7175992397,0.770551621,0.05405405405,0.1071764292,0.1076657939,0.1068901106,0.1084347294,0.1077487769,0.08519757098,0.1071618451,0.2113856614,0.0942873061,0.1232285898,1.975872243,1.236433701,2.977568537,0.4861991636
322,0.04857142857,0.1397748587,0.136263299,0.1337424784,0.2536099758,0.1965622588,0.9513513514,0.821471219,0.8469964748,0.8492655855,0.7195109703,0.7706280912,0.05405405405,0.1077397186,0.1075979368,0.106873764,0.108534129,0.1080152026,0.08615550964,0.1076739588,0.2117521956,0.09530202458,0.1246589217,1.970009428,1.236433701,2.977568537,0.5024618295
323,0.04657142857,0.1406937864,0.1361131206,0.1350616952,0.2544916191,0.1973060692,0.9532432432,0.8206777429,0.8471378359,0.8481373848,0.7187196343,0.7699571576,0.05405405405,0.1076667814,0.1075343236,0.1073336778,0.1086776031,0.1080518443,0.08578966241,0.1075896271,0.2116934473,0.09594386272,0.1254888664,1.953922821,1.236433701,2.977568537,0.5054011832
324,0.04685714286,0.1457451296,0.1368912613,0.1348387918,0.2550480959,0.199981348,0.952972973,0.815950009,0.8464334389,0.8483365848,0.7182450609,0.7674800223,0.05405405405,0.1087984793,0.1074747321,0.1072897658,0.1085939981,0.1084525648,0.087005302,0.1075086646,0.2116360776,0.09888013046,0.1296507514,1.946976045,1.236433701,2.977568537,0.5244445539
325,0.04742857143,0.1464941378,0.1363134304,0.1347252622,0.2545562697,0.2001365701,0.9524324324,0.8153107643,0.8469500914,0.8484207849,0.7186786245,0.7673513953,0.05405405405,0.10865692,0.1074189463,0.1072484043,0.1085875172,0.1084036463,0.08747507727,0.10743087,0.2115800378,0.09945182072,0.1303607757,1.949303342,1.236433701,2.977568537,0.5457040488
326,0.046,0.1499463185,0.1353443554,0.1351937878,0.2541330797,0.20149386,0.9537837838,0.812056783,0.8478088502,0.8480037075,0.7190494852,0.7660539159,0.05405405405,0.1097238727,0.1073667574,0.1072094862,0.1085681124,0.1088024514,0.0867581192,0.107356058,0.2115252817,0.1012744898,0.1330812807,1.952227185,1.236433701,2.977568537,0.5430068233
327,0.04542857143,0.1489855205,0.1351951265,0.1334914414,0.252560103,0.2003015908,0.9543243243,0.8128064476,0.8479392165,0.8495117032,0.7204212396,0.7670686293,0.05405405405,0.1101213327,0.1073179636,0.1071729036,0.1086312206,0.1089886977,0.08719451886,0.1072840577,0.2114717644,0.1004821707,0.132132886,1.962711262,1.236433701,2.977568537,0.5530558784
328,0.04571428571,0.147126862,0.1372348445,0.1323771647,0.2532643044,0.199651521,0.9540540541,0.8144975211,0.8461157359,0.8505085307,0.7197684321,0.7676419828,0.05405405405,0.1098920263,0.1078724043,0.1071385488,0.1088351998,0.1090054717,0.08691349338,0.1072147113,0.2114376676,0.09933320646,0.1305564657,1.975401712,1.236433701,2.977568537,0.5234670968
329,0.04628571429,0.1475450657,0.1362989182,0.1335946592,0.2535704396,0.1998464846,0.9535135135,0.8141563577,0.8469437507,0.8494150298,0.7194676616,0.7674484555,0.05405405405,0.1096763833,0.1077910668,0.1077063482,0.1090772241,0.1090517384,0.08761777525,0.1077091462,0.2117711399,0.09972946889,0.1310054507,1.97820612,1.236433701,2.977568537,0.529059472
330,0.04857142857,0.1468373572,0.1353122343,0.1325950425,0.2518130833,0.1987148064,0.9513513514,0.8148255698,0.847827632,0.8503123944,0.7210053998,0.768467385,0.05405405405,0.1094737871,0.10771474,0.1076373697,0.1091163154,0.1090015469,0.08637297313,0.1076076817,0.2116978513,0.09933942362,0.1304375367,1.976073558,1.236433701,2.977568537,0.5769633151
331,0.04857142857,0.1446880016,0.1359326065,0.1326070756,0.252400373,0.1980209561,0.9513513514,0.8167661525,0.8472671795,0.8502955841,0.720499524,0.7691100272,0.05405405405,0.1092836236,0.1076431734,0.1075724773,0.1090115782,0.1088880716,0.08597903464,0.107510108,0.2116432689,0.09797923032,0.1285920357,1.968724581,1.236433701,2.977568537,0.59688141
332,0.04828571429,0.1446091691,0.1352841471,0.1337430468,0.2528776735,0.1983172299,0.9516216216,0.8168677489,0.8478505515,0.8492759578,0.7201060239,0.768881601,0.05405405405,0.1091052843,0.1075761219,0.1075114898,0.1089137114,0.1087797798,0.08625236053,0.1074162009,0.211556214,0.09801080882,0.128579609,1.968233919,1.236433701,2.977568537,0.5538341358
333,0.04885714286,0.1461804227,0.135623804,0.1338338593,0.2532549199,0.1990907713,0.9510810811,0.8154218281,0.8475553848,0.8491910566,0.7198026632,0.7681670722,0.05405405405,0.1095382038,0.1075133461,0.1074542263,0.1088211683,0.1089148869,0.08546934125,0.1073257536,0.2114877526,0.09882765201,0.12980907,1.966683789,1.236433701,2.977568537,0.5428261952
334,0.04942857143,0.1456959238,0.1352229126,0.1341927968,0.2532689983,0.1988597452,0.9505405405,0.8158956081,0.8479035293,0.8488619851,0.7198000695,0.7683932119,0.05405405405,0.1093429692,0.107454614,0.1074005069,0.1087625378,0.1088210553,0.08511872273,0.1072385745,0.2114207913,0.09857910814,0.1294329073,1.969523531,1.236433701,2.977568537,0.5317147707
335,0.05028571429,0.1457214471,0.1331225209,0.1350346756,0.2520557456,0.198234966,0.9497297297,0.815899838,0.8497879378,0.8480603813,0.7208065432,0.7689208867,0.05405405405,0.1091599761,0.1073997004,0.1079501873,0.109075089,0.1089015116,0.08434579598,0.1071544865,0.2113552792,0.09869159447,0.129520174,1.978303121,1.236433701,2.977568537,0.5468279152
336,0.05,0.1454150525,0.1345061234,0.1331389236,0.2515967874,0.1977529347,0.95,0.8161958552,0.8485404675,0.8497519745,0.721165217,0.7693272027,0.05405405405,0.1089885896,0.107948422,0.107864268,0.1093491969,0.1089613228,0.08435683221,0.1070733249,0.2112911675,0.09857590229,0.12930985,1.978159272,1.236433701,2.977568537,0.5574055485
337,0.05028571429,0.1457905914,0.1331349374,0.1337691343,0.2509392915,0.1977352811,0.9497297297,0.8158971188,0.8497491669,0.8491982243,0.72174316,0.7693652423,0.05405405405,0.10882819,0.1078617436,0.1077835463,0.1093014188,0.1088774257,0.08484729527,0.1069949371,0.2112284094,0.09889695695,0.1296887862,1.971289621,1.236433701,2.977568537,0.5527800732
338,0.05114285714,0.1455165206,0.1335597073,0.1349150962,0.2523630686,0.1982748628,0.9489189189,0.8160707665,0.8493566646,0.8481806619,0.7205081996,0.7688696284,0.05405405405,0.109278209,0.1077804324,0.1077077768,0.1091400288,0.1089706035,0.08472868284,0.1069427975,0.2111898348,0.09848219402,0.129290129,1.982950112,1.236433701,2.977568537,0.518678438
339,0.05228571429,0.1445229363,0.1337978765,0.1337732599,0.2516378353,0.1974837949,0.9478378378,0.8169842247,0.8491556719,0.8492015872,0.7211586479,0.7695942901,0.05405405405,0.1090992377,0.1077042171,0.1076367172,0.1091198295,0.1088959834,0.0845807592,0.1068919279,0.2111525372,0.09789646923,0.1284661565,1.976935723,1.236433701,2.977568537,0.5243459664
340,0.05257142857,0.1452091755,0.1332691065,0.1328280947,0.2504513281,0.1972441536,0.9475675676,0.8164107665,0.8496255455,0.8500541845,0.7222104615,0.7698212708,0.05405405405,0.1089316819,0.1076328321,0.1075701286,0.1091385995,0.1088450327,0.08474286545,0.1068422924,0.2111164865,0.09843099242,0.1291233925,1.959465381,1.236433701,2.977568537,0.5105484653
341,0.052,0.1454758302,0.132500618,0.1322412293,0.2491715796,0.1966959204,0.9481081081,0.8162067268,0.85031036,0.8505676515,0.723305992,0.7702989805,0.05405405405,0.1087749217,0.107566019,0.1079398344,0.1093600238,0.1088817998,0.08446802407,0.1067938558,0.2110816543,0.09867887506,0.1294058123,1.952924704,1.236433701,2.977568537,0.5167062857
342,0.05228571429,0.1437808175,0.1314330368,0.13256055,0.2486058892,0.1955325953,0.9478378378,0.8177491127,0.8512782224,0.8502856178,0.7238260185,0.7713501541,0.05405405405,0.1086283568,0.1075035269,0.1078546749,0.1093222812,0.1088203459,0.0822241746,0.1067465839,0.2110480141,0.09758652066,0.1279367089,1.953238961,1.236433701,2.977568537,0.5312139137
343,0.05342857143,0.1436242083,0.1324140005,0.1326022468,0.2495507971,0.1959705932,0.9467567568,0.8179219016,0.8504090936,0.8502363497,0.7230198993,0.7709949518,0.05405405405,0.1084914077,0.1074451135,0.1077746572,0.1091894955,0.1087023181,0.08234643789,0.1067004431,0.2110309736,0.09753237003,0.1278323945,1.958172612,1.236433701,2.977568537,0.5438116155
344,0.05314285714,0.144304621,0.1317449957,0.1316374908,0.2481236318,0.1955905283,0.947027027,0.8171859838,0.8510032401,0.8510886454,0.724279572,0.7712750447,0.05405405405,0.1089635506,0.1073905449,0.1076995404,0.1092164344,0.1089011183,0.08282288626,0.1066554009,0.2109713649,0.09783872345,0.1283322409,1.956862701,1.236433701,2.977568537,0.5319360478
345,0.05314285714,0.1450418549,0.1324452141,0.1295659043,0.2468924423,0.1954749253,0.947027027,0.8165491428,0.8503737226,0.8529315696,0.7253535185,0.771388632,0.05405405405,0.108805424,0.1073395968,0.1076290855,0.109231402,0.1088428326,0.08303777813,0.1066114256,0.2109280689,0.09842770374,0.1290481451,1.96415303,1.236433701,2.977568537,0.5315878675
346,0.05228571429,0.1451893482,0.132417217,0.1295631849,0.246800949,0.1953869793,0.9478378378,0.8164448143,0.850401744,0.8529595289,0.7253902533,0.7714463975,0.05405405405,0.1086574841,0.1072920539,0.1081630908,0.1094937231,0.108903595,0.08297178486,0.1065684863,0.2108984711,0.09859758252,0.1292264436,1.941791751,1.236433701,2.977568537,0.5543765376
347,0.05257142857,0.1462084492,0.1333802444,0.1289205757,0.2471686371,0.1960969811,0.9475675676,0.8154148773,0.8495387817,0.8535144397,0.7250829738,0.7707751814,0.05405405405,0.1091002769,0.1072477106,0.1080624993,0.1093958213,0.1090336315,0.08272386083,0.106526553,0.2108568524,0.09914466523,0.1300349842,1.942946376,1.236433701,2.977568537,0.5704675101
348,0.05228571429,0.1462642699,0.1325155324,0.1280192149,0.2455930945,0.195343469,0.9478378378,0.8154115745,0.8503153278,0.8543171933,0.7264701011,0.771456154,0.05405405405,0.1089336526,0.1072063705,0.1079680538,0.1094296321,0.1089892502,0.08274822298,0.1064855967,0.210828196,0.09923713125,0.1301215992,1.947196094,1.236433701,2.977568537,0.5776219328
349,0.05314285714,0.146007944,0.1308766222,0.12809433,0.2442605368,0.1946548326,0.947027027,0.8156566549,0.8517805679,0.8542630344,0.7276400547,0.772078154,0.05405405405,0.1087776453,0.1071678471,0.1078794562,0.1094546955,0.1089406471,0.08221956835,0.1064455891,0.2108010255,0.09915365952,0.1299545225,1.949381766,1.236433701,2.977568537,0.5752713357
350,0.052,0.1478608486,0.13065598,0.1299661599,0.2457059049,0.1961050398,0.9481081081,0.8139607612,0.8519834402,0.8526036382,0.7263975768,0.7707678691,0.05405405405,0.109229109,0.1071319629,0.1077964125,0.1093008857,0.109048522,0.08120620734,0.1064065029,0.2107615249,0.1001472292,0.1314246843,1.945605428,1.236433701,2.977568537,0.5779551611
351,0.05285714286,0.1472747341,0.1327528793,0.1313625544,0.2486285431,0.1971115097,0.9472972973,0.8145017222,0.8500979427,0.8512745606,0.7237384849,0.7698399142,0.05405405405,0.1090540539,0.1076985833,0.1083186684,0.1096385264,0.1091274626,0.08123802306,0.1063683115,0.2107112233,0.09984989103,0.1309712508,1.95642141,1.236433701,2.977568537,0.5871612773
352,0.05257142857,0.1466117595,0.1310436238,0.1309177895,0.2467642976,0.1959233624,0.9475675676,0.815135265,0.8516308151,0.8516590836,0.7253716366,0.7709074792,0.05405405405,0.1088901017,0.1076287226,0.1082071163,0.1096725616,0.109085626,0.08184097111,0.1070614603,0.211254145,0.09945658137,0.1304196841,1.961121256,1.236433701,2.977568537,0.5490431751
353,0.05457142857,0.1480927614,0.1305751682,0.1322423823,0.2475168544,0.1969037818,0.9456756757,0.813727575,0.8520365959,0.8504914161,0.7247260582,0.7699918548,0.05405405405,0.109336689,0.107563198,0.1081024511,0.1095380588,0.1092097412,0.08162075682,0.1069993443,0.2112048854,0.1002645458,0.1316040805,1.95887992,1.236433701,2.977568537,0.5679141307
