k,d_norm_griebel_innovation_mean,d_norm_radial_mean,d_norm_x_mean,d_norm_y_mean,d_norm_comp_mean,d_norm_overall_mean,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_comp_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_comp_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
0,0.07,1,1,1,1,1,0.9433333333,0.4375,0.6187184335,0.6187184335,0.3828125,0.4002130682,0.6666666667,0.875,0.875,0.875,0.765625,0.8004261364,0.0120758803,0.875,0.2251221803,0.01339285714,0.125,1.252476324,0,9.210340372,0.4042358185
1,0.07,0.86,0.8583333333,0.8583333333,0.941440955,0.9228379015,0.94,0.42,0.5814534224,0.5814534224,0.3380983705,0.3651012445,0.5,0.7777777778,0.7777777778,0.7777777778,0.6336249325,0.6812395807,0.03082202937,0.7777777778,0.2251221803,0.0364021164,0.1911111111,1.445347623,0,6.638352068,0.4439715327
2,0.05666666667,0.7383333333,0.74,0.73,0.88133278,0.8437635952,0.946,0.4285,0.5729747468,0.5759747468,0.3299509847,0.3640935751,0.4,0.7,0.7,0.7,0.5551980305,0.6055110614,0.04488603006,0.7,0.3119384433,0.05695714286,0.2215,1.54791754,0,5.60396461,0.423742709
3,0.0475,0.6216666667,0.6316666667,0.6183333333,0.8146461645,0.7573914632,0.9516666667,0.4557575758,0.5839164365,0.5887649214,0.3436392853,0.3845442648,0.3333333333,0.6363636364,0.6363636364,0.6363636364,0.5066240925,0.5542172019,0.05427665405,0.6363636364,0.327450444,0.07046044864,0.2260606061,1.550811171,0.3361032718,5.488738748,0.4162035605
4,0.05,0.5233333333,0.535,0.5233333333,0.7444156131,0.6707720308,0.95,0.4902777778,0.6062289557,0.6110900668,0.3698364575,0.4163638827,0.2857142857,0.5833333333,0.5833333333,0.5833333333,0.4743510047,0.5165332771,0.06627406479,0.5833333333,0.3355923322,0.07787698413,0.2180555556,1.575846697,0.4311712963,5.037635914,0.4503619643
5,0.04666666667,0.4483333333,0.4516666667,0.44,0.6677632865,0.5881511091,0.9525,0.5238461538,0.6338267283,0.6392113437,0.4050640276,0.4530394891,0.25,0.5384615385,0.5384615385,0.5384615385,0.4512920631,0.4865008668,0.07483374094,0.5384615385,0.3381436636,0.08185967878,0.2069230769,1.563480685,0.5123039397,4.71658647,0.4375579836
6,0.04714285714,0.385,0.38,0.37,0.5917992578,0.5132828388,0.9522222222,0.5575,0.6635533906,0.6685533906,0.4438875358,0.4909697113,0.2222222222,0.5,0.5,0.5,0.4330582618,0.4609934763,0.07938108399,0.5,0.3401913921,0.0825,0.1925,1.608959282,0.5820964225,4.474192803,0.5097813402
7,0.05125,0.3960416667,0.391875,0.36625,0.5989882676,0.5206813002,0.949,0.5554444444,0.6543164979,0.6679831646,0.4374687259,0.4866821043,0.2,0.4666666667,0.4666666667,0.4666666667,0.3988378569,0.4272671971,0.08720713156,0.4666666667,0.3398681486,0.09655873016,0.2112222222,1.661477292,0.6427756804,4.283398317,0.4891530077
8,0.04888888889,0.3861111111,0.392037037,0.3762962963,0.606520749,0.5203771131,0.9509090909,0.5640625,0.6513383834,0.6601925501,0.4305377848,0.4865517046,0.1818181818,0.4375,0.4375,0.4375,0.3689613228,0.397730257,0.09089785208,0.4375,0.3377597621,0.1047154018,0.2171875,1.668499979,0.6960894094,4.128494606,0.5383186805
9,0.051,0.3748333333,0.379,0.356,0.5888140678,0.5033449905,0.9491666667,0.573627451,0.6564557334,0.6699851452,0.4403830255,0.497014742,0.1666666667,0.4117647059,0.4117647059,0.4117647059,0.3490359483,0.3757315715,0.09135934684,0.4117647059,0.3355990707,0.1111715274,0.2204901961,1.678359666,0.7433844263,3.999684631,0.58632563
10,0.05090909091,0.3565151515,0.3621212121,0.3337878788,0.5667490107,0.4806297012,0.9492307692,0.5876851852,0.6648007853,0.6821156001,0.4538030339,0.5116489745,0.1538461538,0.3888888889,0.3888888889,0.3888888889,0.332783164,0.3569914945,0.09095904845,0.3888888889,0.3323495619,0.114122575,0.2178703704,1.681915413,0.785701491,3.890514091,0.6022962228
11,0.04833333333,0.3351388889,0.3408333333,0.3123611111,0.5408279602,0.4547087883,0.9514285714,0.604122807,0.6768288141,0.6948112703,0.4704787682,0.5290411744,0.1428571429,0.3684210526,0.3684210526,0.3684210526,0.3193102382,0.3407592296,0.09543830814,0.3684210526,0.329088384,0.1145864662,0.2116666667,1.709867256,0.8238527919,3.796542661,0.5837996548
12,0.04538461538,0.3134615385,0.3184615385,0.2953846154,0.5151134788,0.4293480008,0.954,0.62125,0.6904873734,0.7054873734,0.4876173734,0.5467762338,0.1333333333,0.35,0.35,0.35,0.3072277531,0.3260837984,0.09874853039,0.35,0.3248598472,0.1135178571,0.20375,1.707238445,0.8584798005,3.714606333,0.6137182904
13,0.04428571429,0.29,0.2958333333,0.2683333333,0.4818546518,0.3987942139,0.955,0.64,0.7051467048,0.7234800382,0.5106503057,0.5685991044,0.125,0.3333333333,0.3333333333,0.3333333333,0.2980203763,0.3137497168,0.1001510879,0.3333333333,0.321114936,0.1104761905,0.1933333333,1.741436497,0.8900954249,3.642384019,0.629833722
14,0.04333333333,0.2865555556,0.2968888889,0.2715555556,0.4852897233,0.3987653795,0.9558823529,0.645530303,0.7043824607,0.721655188,0.508878718,0.5702939961,0.1176470588,0.3181818182,0.3181818182,0.3181818182,0.2831642811,0.2988198663,0.09997773064,0.3181818182,0.3173976895,0.1141824085,0.1953787879,1.758929453,0.9191146573,3.578130795,0.6091489217
15,0.0425,0.2773958333,0.29375,0.2686458333,0.4809343356,0.3919482408,0.9566666667,0.6548550725,0.7065107595,0.7239745276,0.5123659887,0.576541697,0.1111111111,0.3043478261,0.3043478261,0.3043478261,0.2709233471,0.2859067174,0.09703096094,0.3043478261,0.3132518588,0.1150634621,0.1929710145,1.76446254,0.9458770066,3.520507185,0.6358483033
16,0.04235294118,0.2685294118,0.2861764706,0.2720588235,0.4787031837,0.3861713658,0.9568421053,0.6639583333,0.7118644778,0.7218644778,0.5144955235,0.5821240419,0.1052631579,0.2916666667,0.2916666667,0.2916666667,0.2595544776,0.2740154498,0.09632974462,0.2916666667,0.3094389689,0.115483631,0.1902083333,1.758030377,0.9706630868,3.468466228,0.6413906092
17,0.04388888889,0.2652777778,0.2787037037,0.2663888889,0.4698872531,0.3792537586,0.9555,0.669,0.7173232321,0.7261898987,0.5214085741,0.5884504145,0.1,0.28,0.28,0.28,0.2502166295,0.2636894673,0.09829213333,0.28,0.3057866003,0.1178742857,0.191,1.761071592,0.993707028,3.421176617,0.6205300598
18,0.04473684211,0.2556140351,0.2673684211,0.255877193,0.4542808105,0.3654519589,0.9547619048,0.6785897436,0.725759518,0.7341569539,0.5334450985,0.5998141825,0.09523809524,0.2692307692,0.2692307692,0.2692307692,0.2426824525,0.2547525128,0.1011133673,0.2692307692,0.3024891268,0.1170033812,0.1867948718,1.775739533,1.015205872,3.377969071,0.6038873947
19,0.0445,0.24425,0.25425,0.24525,0.4368968765,0.3499079276,0.955,0.6894444444,0.7357313877,0.7423980544,0.546972991,0.6125985698,0.09090909091,0.2592592593,0.2592592593,0.2592592593,0.2360166762,0.2466311804,0.1016872028,0.2592592593,0.2992116702,0.1148736038,0.1809259259,1.773331778,1.035326766,3.338298092,0.5979785015
20,0.04571428571,0.2338888889,0.2394444444,0.2294444444,0.4144893033,0.3319423359,0.9539130435,0.6995833333,0.747193362,0.754693362,0.5645610718,0.6273417736,0.08695652174,0.25,0.25,0.25,0.2306695231,0.2395551103,0.1003997444,0.25,0.2954996594,0.1127678571,0.1754166667,1.792548086,1.054212538,3.301714165,0.5734507791
21,0.04454545455,0.2337878788,0.2366666667,0.2349242424,0.4168899344,0.3329580649,0.955,0.701954023,0.749761407,0.751083246,0.5636272728,0.6280664859,0.08333333333,0.2413793103,0.2413793103,0.2413793103,0.2222110378,0.2310563318,0.1006393217,0.2413793103,0.2925700524,0.115325293,0.1773563218,1.800640911,1.071986055,3.267843203,0.5382592978
22,0.04434782609,0.2284057971,0.2379710145,0.232826087,0.4165119766,0.3300319003,0.9552,0.7082222222,0.7492138045,0.7531582489,0.564678125,0.631682764,0.08,0.2333333333,0.2333333333,0.2333333333,0.2146906636,0.2233176942,0.1007446949,0.2333333333,0.2893262494,0.1150730159,0.1751111111,1.812548099,1.088753667,3.236371103,0.5335517825
23,0.04416666667,0.225625,0.2358333333,0.2296527778,0.4127211945,0.3263643825,0.9553846154,0.7124193548,0.7512821764,0.7560671226,0.5683158223,0.6357784077,0.07692307692,0.2258064516,0.2258064516,0.2258064516,0.2081319119,0.2163368772,0.1008451083,0.2258064516,0.2858304184,0.1159149695,0.1746774194,1.808442445,1.104607959,3.207031989,0.5011094941
24,0.0428,0.219,0.2292,0.2278666667,0.4064812605,0.3194550021,0.9566666667,0.71953125,0.7568671084,0.7579087751,0.5738861036,0.6423692559,0.07407407407,0.21875,0.21875,0.21875,0.2023145983,0.209973333,0.1018137453,0.21875,0.281980276,0.1145717076,0.17109375,1.807468564,1.119629955,3.179599139,0.5053553198
25,0.04269230769,0.208974359,0.2191025641,0.2193589744,0.3923418827,0.3065537814,0.9567857143,0.7292929293,0.7652448728,0.7650428526,0.585668067,0.6536224253,0.07142857143,0.2121212121,0.2121212121,0.2121212121,0.1978700694,0.204538984,0.100882807,0.2121212121,0.2792476083,0.1111898203,0.1646464646,1.812437832,1.133890917,3.153877912,0.4930590593
26,0.04222222222,0.2025925926,0.2121604938,0.212037037,0.3811784856,0.297315324,0.9572413793,0.7361764706,0.7712180628,0.771316102,0.5951328624,0.662056208,0.06896551724,0.2058823529,0.2058823529,0.2058823529,0.1933069395,0.1991973251,0.1005263507,0.2058823529,0.2764860243,0.1095081562,0.1608823529,1.813649303,1.147453807,3.129700168,0.487755289
27,0.04178571429,0.1925,0.2041666667,0.2041666667,0.3687540902,0.2855275081,0.9576666667,0.746,0.7780880229,0.7780880229,0.6056876381,0.6725576162,0.06666666667,0.2,0.2,0.2,0.1891802794,0.1942537203,0.09780664754,0.2,0.273583543,0.1056,0.154,1.8139712,1.160374489,3.106919827,0.4968089409
28,0.04275862069,0.1954022989,0.2044252874,0.2054022989,0.3699203999,0.2873959027,0.9567741935,0.7453703704,0.7783726149,0.7775855778,0.6055504922,0.6722521744,0.06451612903,0.1944444444,0.1944444444,0.1944444444,0.1837151165,0.1887625926,0.09751440283,0.1944444444,0.270440441,0.108686067,0.1574074074,1.812767649,1.172702732,3.085409301,0.5516956093
29,0.04233333333,0.1970555556,0.2028888889,0.2057777778,0.3691511174,0.2876103924,0.9571875,0.7456306306,0.7800832649,0.7777409226,0.6069004949,0.6731809687,0.0625,0.1891891892,0.1891891892,0.1891891892,0.1787860568,0.1836939883,0.09806077422,0.1891891892,0.267248348,0.111040384,0.1597747748,1.809884128,1.184483036,3.065056605,0.5678905234
30,0.04225806452,0.195,0.2034408602,0.2042473118,0.3683995669,0.2860676711,0.9572727273,0.7488157895,0.7800810737,0.779423179,0.6081746354,0.6754765687,0.06060606061,0.1842105263,0.1842105263,0.1842105263,0.1741050998,0.1788794424,0.09606738873,0.1842105263,0.2643971516,0.1112356549,0.1590789474,1.811016891,1.195755334,3.045762998,0.5842447095
31,0.0434375,0.1927083333,0.2016666667,0.19765625,0.3620799043,0.2813496755,0.9561764706,0.7521367521,0.7819593368,0.7852499351,0.6139691602,0.680294149,0.05882352941,0.1794871795,0.1794871795,0.1794871795,0.170305525,0.1746563087,0.09495259986,0.1794871795,0.26178429,0.1112050343,0.1581196581,1.820835134,1.206555578,3.027441047,0.5526362512
32,0.04393939394,0.1853030303,0.199040404,0.190959596,0.3547609982,0.2736639273,0.9557142857,0.759625,0.7845353534,0.79120202,0.6205863366,0.6875504762,0.05714285714,0.175,0.175,0.175,0.1667873963,0.1706884146,0.09565719418,0.175,0.2588780432,0.1081044643,0.152875,1.834237361,1.216916232,3.010013019,0.5863051406
33,0.04441176471,0.1799509804,0.1961764706,0.1903431373,0.3518309969,0.2695039597,0.9552777778,0.7654065041,0.7873109139,0.7921483122,0.6235862627,0.6919334554,0.05555555556,0.1707317073,0.1707317073,0.1707317073,0.1629666113,0.166654145,0.0972508042,0.1707317073,0.2564839345,0.1060712161,0.1492276423,1.844482924,1.226866704,2.993409553,0.5943706116
34,0.04457142857,0.1756666667,0.1916666667,0.1843333333,0.343337234,0.2627565093,0.9551351351,0.7702777778,0.7914622413,0.7975733524,0.6311816777,0.6984035574,0.05405405405,0.1666666667,0.1666666667,0.1666666667,0.1599051632,0.1631184772,0.09730174657,0.1666666667,0.2540511673,0.1045634921,0.1463888889,1.851922509,1.236433701,2.977568537,0.5757459037
35,0.04542857143,0.1792592593,0.1927777778,0.1844444444,0.34420794,0.264942839,0.9543243243,0.7685271318,0.7909243597,0.7979011039,0.6310657847,0.6974844419,0.05405405405,0.1627906977,0.1627906977,0.1627906977,0.1560581427,0.1592590277,0.09797487914,0.1627906977,0.2515853516,0.1076968245,0.1500775194,1.876077715,1.236433701,2.977568537,0.5578935387
36,0.04428571429,0.1779677195,0.1928673172,0.1814086544,0.3418009808,0.2629371883,0.9554054054,0.7707865806,0.7912153427,0.8008505635,0.6336521432,0.7000047602,0.05405405405,0.1591321832,0.1591321832,0.1591321832,0.1527531121,0.1557915161,0.0968351085,0.1590909091,0.2491845504,0.1078573901,0.1496473278,1.886063743,1.236433701,2.977568537,0.5600565647
37,0.04542857143,0.175584177,0.189289437,0.1783441929,0.3363615155,0.2587504321,0.9543243243,0.7739097524,0.794581202,0.8038224563,0.6387469906,0.7043000292,0.05405405405,0.1556831295,0.1556831295,0.1556831295,0.149928176,0.1526730232,0.09598909829,0.1555555556,0.247004901,0.1072875977,0.1482486829,1.8957076,1.236433701,2.977568537,0.558973468
38,0.04742857143,0.1717784864,0.1855997818,0.1762516986,0.3315794847,0.2542824494,0.9524324324,0.7781889758,0.7980449133,0.8059680188,0.6432761783,0.7088191417,0.05405405405,0.1524352784,0.1524352784,0.1524352784,0.1472163183,0.1497056733,0.09457496851,0.152173913,0.244833426,0.1057712715,0.145593385,1.914693602,1.236433701,2.977568537,0.5740373705
39,0.04714285714,0.1663768823,0.1828614395,0.1735740824,0.3269514101,0.2491525918,0.9527027027,0.7837864295,0.8007019912,0.8086020011,0.6476549545,0.7138805337,0.05405405405,0.1493802003,0.1493802003,0.1493802003,0.1446505309,0.1469022743,0.09482613758,0.1489361702,0.2425854425,0.1031851423,0.1415234703,1.927219728,1.236433701,2.977568537,0.5806738235
40,0.04742857143,0.1647148992,0.1775136144,0.1693582737,0.319028948,0.2440277379,0.9524324324,0.7861626896,0.8055821916,0.8125426985,0.6548105432,0.7188848645,0.05405405405,0.1465093769,0.1465093769,0.1465093769,0.1425554771,0.1444336578,0.09567874773,0.1458333333,0.2408148164,0.1028450996,0.1405826219,1.933126417,1.236433701,2.977568537,0.5904464861
41,0.048,0.1635083194,0.1722772303,0.165323054,0.3113230244,0.2393349901,0.9518918919,0.7880993736,0.8103764688,0.8163305353,0.6617766424,0.7235051855,0.05405405405,0.1438142748,0.1438142748,0.1438142748,0.1405896035,0.1421118752,0.09526342413,0.1428571429,0.238279312,0.1027375088,0.139993489,1.939210001,1.236433701,2.977568537,0.590409601
42,0.04714285714,0.1611449795,0.1706822027,0.164041108,0.3088628508,0.2367860377,0.9527027027,0.7909794114,0.8120510416,0.81775384,0.6643551557,0.7263302613,0.05405405405,0.1412864091,0.1412864091,0.1412864091,0.1383135327,0.1397183857,0.09552082263,0.14,0.2362960434,0.1018513203,0.138377384,1.930182723,1.236433701,2.977568537,0.5854257367
43,0.04771428571,0.1625139473,0.1679764703,0.1635038163,0.3060855552,0.2359670814,0.9521621622,0.7906033681,0.8146704199,0.8185217445,0.6671656246,0.7276282567,0.05405405405,0.1389173988,0.1389173988,0.1389173988,0.136213549,0.1374891149,0.09581939895,0.137254902,0.2345544858,0.1032841019,0.1399379325,1.931616839,1.236433701,2.977568537,0.566979195
44,0.04685714286,0.1643486377,0.1676951287,0.1641804069,0.3064357692,0.2370046675,0.952972973,0.7897681524,0.815190416,0.8182246788,0.6673111209,0.7273191102,0.05405405405,0.1366990128,0.1366990128,0.1366990128,0.134004163,0.1352787469,0.09666428931,0.1346153846,0.2325812799,0.1049889987,0.1418823412,1.930465629,1.236433701,2.977568537,0.5815876019
45,0.04657142857,0.1625639602,0.1659409748,0.1615912458,0.3028253166,0.2341688075,0.9532432432,0.7920093171,0.8169683067,0.8207324612,0.6707947255,0.7302823832,0.05405405405,0.1346232095,0.1346232095,0.1346232095,0.1322593053,0.1333747062,0.09673046673,0.1320754717,0.2306548431,0.1043489221,0.1406790781,1.934586974,1.236433701,2.977568537,0.5915678023
46,0.04685714286,0.1599261445,0.1620648906,0.1602893206,0.298517097,0.2306473396,0.952972973,0.7948614939,0.8205765232,0.8221165067,0.6748599388,0.7337824887,0.05405405405,0.1330220126,0.1326821676,0.1326821676,0.1306961755,0.1317647763,0.09653555369,0.1296296296,0.229010403,0.1030011614,0.1386274998,1.935921211,1.236433701,2.977568537,0.5713112671
47,0.04828571429,0.1566552184,0.159927536,0.157670317,0.2945503646,0.2268705847,0.9516216216,0.7983305457,0.8226714695,0.8246332901,0.6786271219,0.7375166397,0.05405405405,0.1311875359,0.1308683121,0.1308683121,0.1292222818,0.130120522,0.09507972358,0.1272727273,0.226935586,0.1013160977,0.1360756864,1.948291143,1.236433701,2.977568537,0.5393158225
48,0.04857142857,0.1538764102,0.1577405875,0.1551991485,0.2905665444,0.2233136592,0.9513513514,0.8013309484,0.8247538362,0.8270143118,0.6823366945,0.7410058484,0.05405405405,0.1294739117,0.1295492566,0.1291743332,0.1280456769,0.1286736199,0.09340021005,0.125,0.2251918659,0.09992126166,0.1339320957,1.937877024,1.236433701,2.977568537,0.5206524504
49,0.04857142857,0.1528853519,0.1555223636,0.1555887846,0.2890395928,0.2220081172,0.9513513514,0.8027425083,0.826900732,0.8268921031,0.6839823949,0.7425677054,0.05405405405,0.1278741007,0.1279451763,0.1275932014,0.1265883845,0.1271504312,0.0935411584,0.1228070175,0.2234692551,0.09965217911,0.1333204414,1.943353215,1.236433701,2.977568537,0.5178329638
50,0.04942857143,0.1526017148,0.1552962408,0.1562753835,0.2893577595,0.2220580578,0.9505405405,0.8035105799,0.8272996135,0.8264946243,0.6840174174,0.7429403561,0.05405405405,0.1263813474,0.1264483165,0.1261181764,0.1250864286,0.1256552082,0.09380279675,0.1206896552,0.2218342503,0.09980480567,0.1332987464,1.949900642,1.236433701,2.977568537,0.558437016
51,0.04971428571,0.1516688497,0.1545931596,0.1570529985,0.2894149956,0.2215728346,0.9502702703,0.8048123502,0.8281130517,0.8260019101,0.6842768308,0.7437541085,0.05405405405,0.1249891878,0.1250522171,0.124742814,0.1237058238,0.1242744853,0.09320777008,0.1186440678,0.2201518375,0.09950807167,0.1326930558,1.966193031,1.236433701,2.977568537,0.5518396041
52,0.05085714286,0.1535492036,0.1570644697,0.1555680184,0.2901873625,0.2226484282,0.9491891892,0.8036107655,0.82612931,0.8274776794,0.6838190957,0.7431181521,0.05405405405,0.1236914519,0.1246148249,0.1234609679,0.1228111078,0.1231736693,0.09268799536,0.1166666667,0.2185538409,0.1010497375,0.1345435085,1.973401799,1.236433701,2.977568537,0.5555728759
53,0.05,0.1517019806,0.1563452486,0.1539223945,0.2881779276,0.2205266822,0.95,0.8056525436,0.8269224858,0.829086089,0.6857919122,0.7452742902,0.05405405405,0.1224822646,0.1237924008,0.1222667898,0.1219635113,0.1221497902,0.09373170875,0.1147540984,0.2172706388,0.1001066881,0.1331063241,1.964018816,1.236433701,2.977568537,0.5337961619
54,0.05085714286,0.1530209946,0.1539777165,0.1514846896,0.2841517248,0.2190074096,0.9491891892,0.804805826,0.8291369805,0.8313829987,0.6895181887,0.7468491274,0.05405405405,0.1218111629,0.122584182,0.1211547267,0.1211055028,0.1213484641,0.09383369289,0.1129032258,0.2154871829,0.1010201609,0.1342885925,1.966237498,1.236433701,2.977568537,0.5340386765
55,0.05,0.1526993213,0.1532343548,0.1512653598,0.283265882,0.218285865,0.95,0.8054583074,0.8299158951,0.8317101627,0.6904814742,0.7477472024,0.05405405405,0.1207342064,0.1214578623,0.1205849873,0.1203128724,0.1204180866,0.09322291785,0.1111111111,0.2140601696,0.1010604775,0.1341745893,1.948504287,1.236433701,2.977568537,0.5354200799
56,0.05085714286,0.1501815465,0.1532200681,0.1502758971,0.2823139302,0.2164248721,0.9491891892,0.8080104892,0.8300626708,0.8327217522,0.6914784527,0.7496200919,0.05405405405,0.1197313669,0.1208834372,0.1195925237,0.1196026358,0.1195658045,0.0916215916,0.109375,0.2126308824,0.09963677118,0.1321238274,1.943413199,1.236433701,2.977568537,0.5550392206
57,0.05028571429,0.1499544222,0.1519492406,0.1504247473,0.2813400183,0.215718233,0.9497297297,0.8085332027,0.831296978,0.8327570486,0.6924960187,0.750473015,0.05405405405,0.1187978755,0.1198760495,0.1191528006,0.1189678799,0.1187837606,0.09072981201,0.1076923077,0.2110993475,0.09970263664,0.1320678596,1.939789251,1.236433701,2.977568537,0.5481421121
58,0.05028571429,0.151781774,0.1511842933,0.1492037208,0.2796079943,0.2156752105,0.9497297297,0.8071645609,0.8321023858,0.8339574935,0.6941953622,0.750715378,0.05405405405,0.1184216265,0.1189375552,0.1182627895,0.1181736286,0.1181461904,0.09157247757,0.1060606061,0.2098115447,0.1008451996,0.1336246258,1.939920598,1.236433701,2.977568537,0.5492683418
59,0.05114285714,0.1517092379,0.1495085046,0.1476588756,0.2769007846,0.2142846214,0.9489189189,0.8075019105,0.8336796217,0.8354327009,0.6967193462,0.7521464682,0.05405405405,0.1175825539,0.1180635702,0.1174343535,0.117527404,0.1174149964,0.09077157928,0.1044776119,0.208352196,0.1010158199,0.1337068125,1.944423317,1.236433701,2.977568537,0.5441994294
60,0.05142857143,0.1535847274,0.147534419,0.1449350575,0.2729788174,0.2130740589,0.9486486486,0.8058975447,0.8355285956,0.8379461418,0.7003095857,0.7533041395,0.05405405405,0.1178163934,0.1172499465,0.1166634786,0.1170162742,0.1171934888,0.0902051055,0.1029411765,0.2069765178,0.1020251566,0.1351942587,1.940124585,1.236433701,2.977568537,0.5350972165
61,0.052,0.1533304227,0.1476097554,0.1433795031,0.2717235076,0.2123553645,0.9481081081,0.8063674215,0.8355672795,0.8394034099,0.7015630454,0.7541356636,0.05405405405,0.1170257879,0.1164927651,0.1159463798,0.1163630234,0.1164921395,0.08967098595,0.1014492754,0.2058938862,0.1020789347,0.1351196845,1.943038019,1.236433701,2.977568537,0.5769260695
62,0.05171428571,0.152358216,0.1459702765,0.1427133753,0.2696319009,0.2108948434,0.9483783784,0.8074531089,0.8371181809,0.8400875755,0.7035234046,0.7555999903,0.05405405405,0.1162893794,0.1157883284,0.1152794925,0.115811159,0.1158685881,0.08924503991,0.1,0.2044864941,0.1016397374,0.1344022014,1.947591992,1.236433701,2.977568537,0.5849819415
63,0.05085714286,0.1503087932,0.1448582109,0.1431164034,0.2690516681,0.2096071822,0.9491891892,0.8094987606,0.8381858455,0.8398177858,0.704157676,0.7569159932,0.05405405405,0.1156036897,0.1151331521,0.1146594637,0.1152166279,0.1152403827,0.08834237989,0.0985915493,0.2031325735,0.1004300752,0.1326993945,1.950408038,1.236433701,2.977568537,0.5781521894
64,0.05114285714,0.1477351553,0.144055468,0.1411872209,0.2668943489,0.2072137231,0.9489189189,0.8119748159,0.8389832197,0.8416080201,0.7061810252,0.7591871623,0.05405405405,0.1149654344,0.1145239566,0.1140831426,0.1147890148,0.1147221096,0.0879352674,0.09722222222,0.2016911164,0.0988830479,0.1305424669,1.960181796,1.236433701,2.977568537,0.5586340533
65,0.05142857143,0.1466314241,0.1431288918,0.1396438502,0.2648258753,0.2056024145,0.9486486486,0.8131500556,0.8398828784,0.8430448589,0.7081114973,0.760757566,0.05405405405,0.1143715154,0.1139576587,0.1135475713,0.1143800885,0.1142365413,0.08758699539,0.09589041096,0.2006504379,0.09828999844,0.1296641867,1.9694838,1.236433701,2.977568537,0.5221996575
66,0.05057142857,0.144911031,0.1407999976,0.1410658004,0.2639550134,0.2042263503,0.9494594595,0.8148554981,0.8420172997,0.8418763076,0.7089440177,0.7620895606,0.05405405405,0.1138190135,0.1134313625,0.1135909834,0.114202542,0.113871677,0.08729425555,0.09459459459,0.1994058916,0.09727526795,0.1282349951,1.965850693,1.236433701,2.977568537,0.521793166
67,0.05,0.1456470698,0.1406097455,0.140983221,0.2637812118,0.2044276648,0.95,0.814362411,0.8422577278,0.8420018073,0.7091773591,0.7620224383,0.05405405405,0.1133051812,0.1129423508,0.1136395957,0.1140044895,0.1135213544,0.08726653693,0.09333333333,0.1980882245,0.09791776764,0.1289849984,1.950602483,1.236433701,2.977568537,0.529672217
68,0.04914285714,0.1439797037,0.1394985558,0.1400664336,0.2620186954,0.2027399994,0.9508108108,0.8159922755,0.843305829,0.8428508228,0.7108169823,0.7636344182,0.05405405405,0.1128274353,0.1124880763,0.1131429392,0.1136346168,0.1131113403,0.08687023152,0.09210526316,0.1970539587,0.09692584412,0.1275940068,1.940888375,1.236433701,2.977568537,0.5069005498
69,0.04885714286,0.1447274078,0.1390843913,0.1414688405,0.2627978642,0.2033900843,0.9510810811,0.815478303,0.8437394205,0.8416401795,0.7101941849,0.7631549459,0.05405405405,0.1123833489,0.112066153,0.1132336215,0.1134003872,0.1127758018,0.08694906054,0.09090909091,0.1958390362,0.09753994334,0.1283300225,1.931879276,1.236433701,2.977568537,0.5271600582
70,0.048,0.1448370366,0.1390343858,0.1412789504,0.2626629467,0.2034132301,0.9518918919,0.8155133119,0.8438350129,0.8418539822,0.7104142768,0.7632530975,0.05405405405,0.1119706446,0.1116743477,0.1127681012,0.112984218,0.1123703645,0.0862811977,0.09210526316,0.1968426605,0.09772576617,0.1285013658,1.928010887,1.236433701,2.977568537,0.5521490399
71,0.04857142857,0.1449928642,0.1371681907,0.1407171919,0.2605986404,0.2023326986,0.9513513514,0.8154390174,0.8455483323,0.8423909084,0.7123069649,0.7642694906,0.05405405405,0.1121467785,0.1113105715,0.1123344956,0.1127195054,0.1122596389,0.08566788728,0.09320804006,0.1980165393,0.09760891948,0.1284875934,1.941189311,1.236433701,2.977568537,0.5114866321
72,0.04714285714,0.1437679216,0.1378249358,0.1393340104,0.259964914,0.2014958932,0.9527027027,0.8166347946,0.8450171576,0.8436535943,0.7129433663,0.7651124025,0.05405405405,0.1117547576,0.1109728723,0.1119307495,0.1123885004,0.1119114353,0.08451628501,0.09422508764,0.1992112932,0.09691239245,0.1274878266,1.933669464,1.236433701,2.977568537,0.5062111941
73,0.04542857143,0.141764912,0.1376920104,0.1372406148,0.2580258826,0.1995404423,0.9543243243,0.8185120269,0.8451804644,0.845572145,0.714714717,0.7669239812,0.05405405405,0.1113900688,0.1106594266,0.1115549245,0.1121704939,0.1116387963,0.08399249731,0.09516338857,0.2004275329,0.09568397729,0.1257929387,1.926936476,1.236433701,2.977568537,0.5052528662
74,0.04628571429,0.1418991309,0.1390248628,0.1378702895,0.2596934101,0.2005171625,0.9535135135,0.8184905512,0.8440339191,0.8450505285,0.7133353352,0.7661611923,0.05405405405,0.1110508943,0.110368532,0.1112051937,0.1117319483,0.1112644153,0.08461112015,0.09602931078,0.2016658936,0.09588249272,0.1259840017,1.919574233,1.236433701,2.977568537,0.4852366214
