k,b_norm_griebel_innovation_mean,b_norm_radial_mean,b_norm_x_mean,b_norm_y_mean,b_norm_comp_mean,b_norm_overall_mean,d_norm_griebel_innovation_mean,d_norm_radial_mean,d_norm_x_mean,d_norm_y_mean,d_norm_comp_mean,d_norm_overall_mean,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_comp_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_comp_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
748,0.8731428571,0.6964616568,0.7448444761,0.7569456292,0.5646888939,0.6268205217,0.1268571429,0.3035383432,0.2551555239,0.2430543708,0.4353111061,0.3731794783,0.8772972973,0.6743148969,0.7413747517,0.75193732,0.5579834063,0.613206103,0.05405405405,0.1172997743,0.1162713254,0.114265129,0.1029609071,0.1091234113,0.2096082487,0.1095667016,0.2131572093,0.2014183545,0.2670352159,1.966509852,1.236433701,2.977568537,0.476782003
749,0.8717142857,0.693489102,0.7437273395,0.7561962748,0.5630737635,0.6245969936,0.1282857143,0.306510898,0.2562726605,0.2438037252,0.4369262365,0.3754030064,0.8759459459,0.6716950679,0.7402787239,0.7512321629,0.5565078637,0.6112149964,0.05405405405,0.1170985931,0.1162107036,0.1137429709,0.1026124369,0.1087958431,0.2116689712,0.109156026,0.212852001,0.2035491071,0.2697556355,1.97089415,1.236433701,2.977568537,0.4950844155
750,0.8708571429,0.6901264565,0.7417171736,0.7562178679,0.5614310137,0.6220555581,0.1291428571,0.3098735435,0.2582828264,0.2437821321,0.4385689863,0.3779444419,0.8751351351,0.6686526044,0.7384306847,0.7512391525,0.5550272304,0.6089278863,0.05405405405,0.1169751429,0.1161538567,0.1132543625,0.102264026,0.1085342834,0.2132267323,0.1087589926,0.2125243158,0.2059990407,0.2728598241,1.967547024,1.236433701,2.977568537,0.4892907784
751,0.87,0.690605403,0.7418731285,0.7558356624,0.5613695221,0.6222254755,0.13,0.309394597,0.2581268715,0.2441643376,0.4386304779,0.3777745245,0.8743243243,0.6691355005,0.7385004543,0.7508444112,0.5549241648,0.6090751973,0.05405405405,0.1162603439,0.1161005491,0.1127974495,0.1020485605,0.1081168651,0.2144117892,0.1083749265,0.21221983,0.2061209047,0.2727343276,1.991792684,1.236433701,2.977568537,0.4803935892
752,0.8685714286,0.6896532492,0.7416068925,0.7545876887,0.5602708934,0.6210453005,0.1314285714,0.3103467508,0.2583931075,0.2454123113,0.4397291066,0.3789546995,0.872972973,0.6683377586,0.7382360926,0.749686992,0.5539292785,0.6080423959,0.05405405405,0.1155923404,0.1154506641,0.1128024979,0.1016580579,0.1076360719,0.2168138172,0.1080031974,0.2119202486,0.2071908114,0.2738660712,2.006366041,1.236433701,2.977568537,0.4941818159
753,0.8682857143,0.6884047656,0.7405947117,0.7522607146,0.5576071737,0.6190669865,0.1317142857,0.3115952344,0.2594052883,0.2477392854,0.4423928263,0.3809330135,0.8727027027,0.6672854107,0.7373089387,0.7476283608,0.5515460674,0.6062985505,0.05405405405,0.1149684288,0.1151826058,0.1129768848,0.1014273125,0.107252615,0.2183167606,0.1076432162,0.2116425313,0.2084161303,0.2752303749,1.979956035,1.236433701,2.977568537,0.4679049879
754,0.868,0.68785914,0.7399307719,0.7511289622,0.5563365157,0.6180670632,0.132,0.31214086,0.2600692281,0.2488710378,0.4436634843,0.3819329368,0.8724324324,0.6668419463,0.7367000902,0.746572991,0.5504163301,0.6054309738,0.05405405405,0.114386015,0.1145937114,0.1130856566,0.1010514335,0.1068215875,0.2205434962,0.1072944312,0.2113442133,0.2091585868,0.2759650462,1.977623916,1.236433701,2.977568537,0.4684712398
755,0.8668571429,0.6847704032,0.7394224491,0.7494123032,0.5545622202,0.6156459651,0.1331428571,0.3152295968,0.2605775509,0.2505876968,0.4454377798,0.3843540349,0.8713513514,0.664127962,0.7362013723,0.7450914494,0.5488421759,0.6032867003,0.05405405405,0.1144426106,0.1140431566,0.1132428259,0.1007463104,0.1066996228,0.2226275961,0.1069563255,0.2110652318,0.2111654222,0.2786507327,1.985496316,1.236433701,2.977568537,0.4726306247
756,0.8674285714,0.6848408865,0.7376822489,0.7478282105,0.5522178597,0.6143356837,0.1325714286,0.3151591135,0.2623177511,0.2521717895,0.4477821403,0.3856643163,0.8718918919,0.6642400453,0.7346587771,0.7436765153,0.5467464009,0.602147915,0.05405405405,0.113897099,0.1141287033,0.112789903,0.1003698159,0.106292727,0.2232030088,0.106628414,0.2108057901,0.2114513664,0.2788114052,1.989269782,1.236433701,2.977568537,0.4729410472
757,0.8674285714,0.6839491634,0.7370459224,0.7460903377,0.5502577968,0.612292421,0.1325714286,0.3160508366,0.2629540776,0.2539096623,0.4497422032,0.387707579,0.8718918919,0.663242888,0.7340963354,0.7421623405,0.5450106544,0.6003171855,0.05405405405,0.1145333009,0.1141097449,0.1129115329,0.1003028149,0.106521913,0.223839817,0.1063338578,0.2105075795,0.2118916449,0.2794904615,1.963910685,1.236433701,2.977568537,0.4654773458
758,0.8671428571,0.6809532006,0.7383551142,0.745931007,0.5510845987,0.6112883161,0.1328571429,0.3190467994,0.2616448858,0.254068993,0.4489154013,0.3887116839,0.8716216216,0.6606365601,0.7352339351,0.7420001134,0.5457566963,0.5994449478,0.05405405405,0.1145851463,0.1135932868,0.1124806985,0.09994694671,0.1063035681,0.2248131631,0.1060473828,0.2102713605,0.2138009171,0.2820708668,1.94425353,1.236433701,2.977568537,0.4561482951
759,0.8662857143,0.6812088337,0.7382261687,0.7454616696,0.5505357195,0.6111898182,0.1337142857,0.3187911663,0.2617738313,0.2545383304,0.4494642805,0.3888101818,0.8708108108,0.6609223312,0.7350874476,0.7415459304,0.545261164,0.5993687129,0.05405405405,0.1140345194,0.1131106935,0.1126707943,0.09977540375,0.1059887457,0.225838882,0.10579229,0.2100572756,0.2139506729,0.2820604091,1.966306755,1.236433701,2.977568537,0.4410489346
760,0.8642857143,0.6815413876,0.7388639917,0.7437932817,0.5496634249,0.6107478297,0.1357142857,0.3184586124,0.2611360083,0.2562067183,0.4503365751,0.3892521703,0.8689189189,0.661268264,0.7356285928,0.7400235677,0.5444905674,0.5990105834,0.05405405405,0.1135201842,0.1126599981,0.1122559752,0.09931323003,0.1055447312,0.2261414848,0.105543434,0.2098513343,0.2140338561,0.2819716439,1.959093895,1.236433701,2.977568537,0.4406557076
