k,b_norm_griebel_innovation_mean,b_norm_radial_mean,b_norm_x_mean,b_norm_y_mean,b_norm_comp_mean,b_norm_overall_mean,d_norm_griebel_innovation_mean,d_norm_radial_mean,d_norm_x_mean,d_norm_y_mean,d_norm_comp_mean,d_norm_overall_mean,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_comp_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_comp_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
11,0.9625,0.6565277778,0.6848611111,0.6884722222,0.4747935175,0.5515823125,0.0375,0.3434722222,0.3151388889,0.3115277778,0.5252064825,0.4484176875,0.9607142857,0.5988596491,0.6930568843,0.6953375861,0.4814478438,0.5332626351,0.1428571429,0.3684210526,0.3684210526,0.3684210526,0.3229261037,0.3430289537,0.09868088208,0.3684210526,0.3292278369,0.1174356945,0.2169298246,1.784247667,0.8238527919,3.796542661,0.6016550203
12,0.9615384615,0.6803846154,0.7079487179,0.7085897436,0.502905256,0.5796817704,0.03846153846,0.3196153846,0.2920512821,0.2914102564,0.497094744,0.4203182296,0.96,0.61725,0.7076540401,0.7080707067,0.5006309435,0.5529318338,0.1333333333,0.35,0.35,0.35,0.3112770019,0.3286252019,0.1001379597,0.35,0.3253014988,0.1157464286,0.20775,1.795717802,0.8584798005,3.714606333,0.5859710015
13,0.96,0.705,0.7316666667,0.7333333333,0.5356239065,0.6105508865,0.04,0.295,0.2683333333,0.2666666667,0.4643760935,0.3894491135,0.95875,0.6366666667,0.7234800382,0.7245911493,0.5235976027,0.5751166787,0.125,0.3333333333,0.3333333333,0.3333333333,0.3018171402,0.3161456195,0.1003924199,0.3333333333,0.3214558723,0.1123809524,0.1966666667,1.821480215,0.8900954249,3.642384019,0.5939306338
14,0.958,0.7008888889,0.7268888889,0.7318888889,0.5309513605,0.6061940787,0.042,0.2991111111,0.2731111111,0.2681111111,0.4690486395,0.3938059213,0.9570588235,0.636969697,0.7205945819,0.7240036728,0.5208536542,0.5737428569,0.1176470588,0.3181818182,0.3181818182,0.3181818182,0.2866237293,0.300949441,0.1037256907,0.3181818182,0.3175894453,0.1191853601,0.2039393939,1.832688429,0.9191146573,3.578130795,0.590005274
15,0.956875,0.7088541667,0.7270833333,0.7316666667,0.5304592471,0.6099484751,0.043125,0.2911458333,0.2729166667,0.2683333333,0.4695407529,0.3900515249,0.9561111111,0.6452898551,0.7210035131,0.7241919189,0.5211686522,0.5779347526,0.1111111111,0.3043478261,0.3043478261,0.3043478261,0.2735459134,0.2875790124,0.1033885446,0.3043478261,0.3132134682,0.1207669457,0.2025362319,1.842691321,0.9458770066,3.520507185,0.5919824688
16,0.9541176471,0.7223529412,0.7323529412,0.7361764706,0.5376338869,0.6204366544,0.04588235294,0.2776470588,0.2676470588,0.2638235294,0.4623661131,0.3795633456,0.9536842105,0.6575,0.7249894778,0.7276978112,0.5268897589,0.586856883,0.1052631579,0.2916666667,0.2916666667,0.2916666667,0.2627935919,0.2760025503,0.1051207744,0.2916666667,0.3094389689,0.1194047619,0.1966666667,1.86883982,0.9706630868,3.468466228,0.5768682768
17,0.9561111111,0.7300925926,0.7414814815,0.7418518519,0.5481917098,0.6302551279,0.04388888889,0.2699074074,0.2585185185,0.2581481481,0.4518082902,0.3697448721,0.9555,0.6656666667,0.7318565654,0.7321232321,0.5351901007,0.5953511941,0.1,0.28,0.28,0.28,0.2535735763,0.2657219916,0.1059839342,0.28,0.3059748421,0.1199314286,0.1943333333,1.880347722,0.993707028,3.421176617,0.561790028
18,0.9568421053,0.7366666667,0.7464912281,0.7492982456,0.5569434974,0.6384228357,0.04315789474,0.2633333333,0.2535087719,0.2507017544,0.4430565026,0.3615771643,0.9561904762,0.6729487179,0.7358877231,0.7379390052,0.5422105371,0.60268724,0.09523809524,0.2692307692,0.2692307692,0.2692307692,0.2448762632,0.2561050977,0.1069927414,0.2692307692,0.3027853037,0.1205367709,0.1924358974,1.877233483,1.015205872,3.377969071,0.6048893085
19,0.956,0.7528333333,0.7558333333,0.75825,0.5708608737,0.6539746692,0.044,0.2471666667,0.2441666667,0.24175,0.4291391263,0.3460253308,0.9554545455,0.6872839506,0.7432005235,0.744990647,0.5531564436,0.6155327542,0.09090909091,0.2592592593,0.2592592593,0.2592592593,0.2375447565,0.2475831232,0.1066314146,0.2592592593,0.2991390802,0.1162453459,0.1830864198,1.879401191,1.035326766,3.338298092,0.5748107182
20,0.9552380952,0.765,0.7738888889,0.7716666667,0.5948613165,0.673277983,0.04476190476,0.235,0.2261111111,0.2283333333,0.4051386835,0.326722017,0.9547826087,0.69875,0.757193362,0.7555266953,0.571840736,0.6312668947,0.08695652174,0.25,0.25,0.25,0.2322560281,0.240492834,0.1062414232,0.25,0.2957126698,0.1133035714,0.17625,1.884859651,1.054212538,3.301714165,0.5582272586
21,0.9554545455,0.7665151515,0.7741666667,0.7712121212,0.5947047617,0.6740424914,0.04454545455,0.2334848485,0.2258333333,0.2287878788,0.4052952383,0.3259575086,0.955,0.702183908,0.7579797978,0.7557384184,0.5726332381,0.6333585182,0.08333333333,0.2413793103,0.2413793103,0.2413793103,0.2240313175,0.2321042644,0.1049312926,0.2413793103,0.2925353846,0.1151758111,0.1771264368,1.890933986,1.071986055,3.267843203,0.5435621096
22,0.9569565217,0.7628985507,0.7760869565,0.775942029,0.5996706585,0.6753846589,0.04304347826,0.2371014493,0.2239130435,0.224057971,0.4003293415,0.3246153411,0.9564,0.7015555556,0.7599915823,0.7598804712,0.5773123913,0.6357377071,0.08,0.2333333333,0.2333333333,0.2333333333,0.2170826249,0.2246771431,0.1073158044,0.2333333333,0.2890895655,0.1194539683,0.1817777778,1.889970582,1.088753667,3.236371103,0.5610995672
23,0.9570833333,0.7657638889,0.7753472222,0.7779166667,0.6005855162,0.677249135,0.04291666667,0.2342361111,0.2246527778,0.2220833333,0.3994144838,0.322750865,0.9565384615,0.7057526882,0.7599380904,0.7619273377,0.5787660451,0.6384900289,0.07692307692,0.2258064516,0.2258064516,0.2258064516,0.2100520235,0.217420129,0.1066838896,0.2258064516,0.2855668339,0.1203389327,0.181344086,1.899056301,1.104607959,3.207031989,0.5555191605
24,0.9568,0.7698,0.7817333333,0.7796,0.6069352537,0.6829125417,0.0432,0.2302,0.2182666667,0.2204,0.3930647463,0.3170874583,0.9562962963,0.71078125,0.7654087751,0.7637421084,0.5844426851,0.6440941742,0.07407407407,0.21875,0.21875,0.21875,0.204156622,0.2109956232,0.1067559594,0.21875,0.281980276,0.1204310826,0.17984375,1.904188382,1.119629955,3.179599139,0.5626613237
25,0.9569230769,0.7774358974,0.7885897436,0.7846794872,0.6161645826,0.6918414981,0.04307692308,0.2225641026,0.2114102564,0.2153205128,0.3838354174,0.3081585019,0.9564285714,0.7185858586,0.7713054788,0.7682246708,0.5924242202,0.65226672,0.07142857143,0.2121212121,0.2121212121,0.2121212121,0.199018512,0.2051788983,0.1063316977,0.2121212121,0.2790602068,0.1184205693,0.1753535354,1.905236765,1.133890917,3.153877912,0.5466686469
26,0.9574074074,0.7845061728,0.7941975309,0.7885802469,0.6237073649,0.6993484862,0.04259259259,0.2154938272,0.2058024691,0.2114197531,0.3762926351,0.3006515138,0.9568965517,0.7259313725,0.7762670824,0.7718062981,0.5990736373,0.659354705,0.06896551724,0.2058823529,0.2058823529,0.2058823529,0.1939749861,0.1995771044,0.105584816,0.2058823529,0.2762124635,0.1164817103,0.171127451,1.909686098,1.147453807,3.129700168,0.494673008
27,0.9578571429,0.7908333333,0.7995833333,0.795,0.6329689659,0.7074764263,0.04214285714,0.2091666667,0.2004166667,0.205,0.3670310341,0.2925235737,0.9573333333,0.7326666667,0.7810880229,0.7774213562,0.6070842879,0.6669102446,0.06666666667,0.2,0.2,0.2,0.1894536465,0.1944088682,0.1057114963,0.2,0.2735539669,0.1147428571,0.1673333333,1.912311829,1.160374489,3.106919827,0.5284074696
28,0.9582758621,0.7910344828,0.7998850575,0.7916666667,0.6305484512,0.7063365699,0.04172413793,0.2089655172,0.2001149425,0.2083333333,0.3694515488,0.2936634301,0.9577419355,0.7344444444,0.7818448371,0.7752244667,0.6059133102,0.6671613715,0.06451612903,0.1944444444,0.1944444444,0.1944444444,0.1838416753,0.1888313662,0.10623042,0.1944444444,0.2705267733,0.1162301587,0.1683333333,1.904550531,1.172702732,3.085409301,0.5261629991
29,0.958,0.7912222222,0.7989444444,0.795,0.6325097373,0.7075690627,0.042,0.2087777778,0.2010555556,0.205,0.3674902627,0.2924309373,0.9575,0.7361261261,0.7815697514,0.7783715532,0.608175519,0.6692118769,0.0625,0.1891891892,0.1891891892,0.1891891892,0.1790206851,0.1838104504,0.1063599031,0.1891891892,0.2671923452,0.1176458312,0.1692792793,1.910401741,1.184483036,3.065056605,0.5295280146
30,0.9580645161,0.7960215054,0.8027419355,0.7999462366,0.6395137606,0.7138488808,0.04193548387,0.2039784946,0.1972580645,0.2000537634,0.3604862394,0.2861511192,0.9575757576,0.7414912281,0.7851249334,0.7828442316,0.6145257834,0.6753018696,0.06060606061,0.1842105263,0.1842105263,0.1842105263,0.1750185318,0.1793579936,0.104264194,0.1842105263,0.2643699026,0.1163573407,0.1664035088,1.911672453,1.195755334,3.045762998,0.5367271614
